source_id,paragraph_id,paragraph_role,run_index,raw_text,normalized_text,font_ascii,font_hAnsi,font_eastAsia,font_cs,font_size_pt,bold,italic,color,highlight,superscript,subscript,underline,xml_space_preserve,preceding_whitespace,following_whitespace,instruction_or_specimen,visible_black_or_red,semantic_role,applies_to_manuscript,notes
HFUT_FMT_DOC,P001,MANUSCRIPT_FORMAT_INSTRUCTION,1,排版格式,排版格式,宋体;SimSun,宋体;SimSun,,宋体;SimSun,22.0,TRUE,FALSE,AUTO_OR_INHERITED,,FALSE,FALSE,,FALSE,,,BLACK_SPECIMEN_RUN,BLACK_OR_INHERITED,FORMAT_DOCUMENT_CONTENT,YES,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P001,MANUSCRIPT_FORMAT_INSTRUCTION,2,及相关,及相关,宋体;SimSun,宋体;SimSun,,宋体;SimSun,22.0,TRUE,FALSE,AUTO_OR_INHERITED,,FALSE,FALSE,,FALSE,,,BLACK_SPECIMEN_RUN,BLACK_OR_INHERITED,FORMAT_DOCUMENT_CONTENT,YES,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P001,MANUSCRIPT_FORMAT_INSTRUCTION,3,要求,要求,宋体;SimSun,宋体;SimSun,,宋体;SimSun,22.0,TRUE,FALSE,AUTO_OR_INHERITED,,FALSE,FALSE,,FALSE,,,BLACK_SPECIMEN_RUN,BLACK_OR_INHERITED,FORMAT_DOCUMENT_CONTENT,YES,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P001,MANUSCRIPT_FORMAT_INSTRUCTION,4,（标题不超过,（标题不超过,黑体;SimHei,黑体;SimHei,黑体;SimHei,黑体;SimHei,14.0,TRUE,FALSE,FF0000,,FALSE,FALSE,,FALSE,,,RED_INSTRUCTION_RUN,RED,RED_INSTRUCTIONAL_ANNOTATION,NO,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P001,MANUSCRIPT_FORMAT_INSTRUCTION,5,20,20,黑体;SimHei,黑体;SimHei,黑体;SimHei,黑体;SimHei,14.0,TRUE,FALSE,FF0000,,FALSE,FALSE,,FALSE,,,RED_INSTRUCTION_RUN,RED,RED_INSTRUCTIONAL_ANNOTATION,NO,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P001,MANUSCRIPT_FORMAT_INSTRUCTION,6,字）,字）,黑体;SimHei,黑体;SimHei,黑体;SimHei,黑体;SimHei,14.0,TRUE,FALSE,FF0000,,FALSE,FALSE,,FALSE,,,RED_INSTRUCTION_RUN,RED,RED_INSTRUCTIONAL_ANNOTATION,NO,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P002,MANUSCRIPT_FORMAT_INSTRUCTION,1,张光明,张光明,,,楷体_GB2312;楷体,,14.0,FALSE,FALSE,AUTO_OR_INHERITED,,FALSE,FALSE,,FALSE,,,BLACK_SPECIMEN_RUN,BLACK_OR_INHERITED,FORMAT_DOCUMENT_CONTENT,YES,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P002,MANUSCRIPT_FORMAT_INSTRUCTION,2,1,1,,,楷体_GB2312;楷体,,14.0,FALSE,FALSE,AUTO_OR_INHERITED,,TRUE,FALSE,,FALSE,,,BLACK_SPECIMEN_RUN,BLACK_OR_INHERITED,FORMAT_DOCUMENT_CONTENT,YES,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P002,MANUSCRIPT_FORMAT_INSTRUCTION,3,，,，,,,,,14.0,FALSE,FALSE,AUTO_OR_INHERITED,,FALSE,FALSE,,FALSE,,,BLACK_SPECIMEN_RUN,BLACK_OR_INHERITED,FORMAT_DOCUMENT_CONTENT,YES,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
HFUT_FMT_DOC,P002,MANUSCRIPT_FORMAT_INSTRUCTION,4,李,李,,,楷体_GB2312;楷体,,14.0,FALSE,FALSE,AUTO_OR_INHERITED,,FALSE,FALSE,,FALSE,,,BLACK_SPECIMEN_RUN,BLACK_OR_INHERITED,FORMAT_DOCUMENT_CONTENT,YES,LibreOffice-derived OOXML inspection of hash-verified legacy source; inherited properties remain explicit as such.
