citation_key,cited_yes_no,first_occurrence_index,first_occurrence_section,source_type,current_bib_type,expected_rendered_type,publication_class,metadata_status,render_status,final_disposition,notes
lv_et_al_2020_metallic_defects,YES,1,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,PASS,PASS_RENDERED_[J],CITED_AND_RENDERED,"Publisher and DOI metadata confirm Sensors 20(6), article 1562."
song_yan_2013_neu_surface_defects,YES,2,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,REMEDIATED,PASS_RENDERED_[J],CITED_AND_RENDERED,Added locally verified final volume and pages (285:858--864).
shao_et_al_2024_td_net,YES,3,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,REMEDIATED,PASS_RENDERED_[J],CITED_AND_RENDERED,Added locally verified final volume and pages (10:3943--3954).
chu_yu_rong_2024_strip_steel_yolov8,YES,4,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,PASS,PASS_RENDERED_[J],CITED_AND_RENDERED,"Publisher and DOI metadata confirm Sensors 24(19), article 6495."
zhang_pang_jiang_2024_gdm_yolo,YES,5,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,PASS,PASS_RENDERED_[J],CITED_AND_RENDERED,DOI metadata confirm IEEE Access 12:148817--148825.
ultralytics_2023_yolov8_docs,YES,6,01_introduction.md,official_documentation,online,[EB/OL],OFFICIAL_WEB_RESOURCE,REMEDIATED,PASS_RENDERED_[EB/OL],CITED_AND_RENDERED,Converted to official webpage metadata with locally captured URL and access date.
stacker_et_al_2021_edge_runtime,YES,7,01_introduction.md,research_paper,inproceedings,[C],FINAL_CONFERENCE,REMEDIATED,PASS_RENDERED_[C],CITED_AND_RENDERED,"Phase 6.3R1 authority confirms ICCVW 2021:1015--1022 and IEEE publisher place Piscataway, NJ, USA; Online is retained only as event traceability."
lee_han_kim_2025_presto,YES,8,01_introduction.md,research_paper,inproceedings,[C],FINAL_CONFERENCE,REMEDIATED,PASS_RENDERED_[C],CITED_AND_RENDERED,"Phase 6.3R1 authority confirms MobiSys 2025:735--740 and Association for Computing Machinery publisher place New York, NY, USA; Anaheim remains event traceability only."
weiss_et_al_2024_realtime_component_inspection,YES,9,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,REMEDIATED,PASS_RENDERED_[J],CITED_AND_RENDERED,"Added locally verified volume, issue, and article number (13(8):1551)."
jacob_et_al_2018_integer_inference,YES,10,01_introduction.md,research_paper,inproceedings,[C],FINAL_CONFERENCE,REMEDIATED,PASS_RENDERED_[C],CITED_AND_RENDERED,"Phase 6.3R1 authority confirms CVPR 2018:2704--2713 and IEEE publisher place Piscataway, NJ, USA; Salt Lake City remains event traceability only."
nagel_et_al_2020_adaround,YES,11,01_introduction.md,research_paper,inproceedings,[C],FINAL_CONFERENCE,REMEDIATED,PASS_RENDERED_[C],CITED_AND_RENDERED,"Phase 6.3R1 authority confirms ICML/PMLR 119:7197--7206 and PMLR/JMLR publication place Cambridge, MA, USA; Virtual remains event traceability only."
nvidia_tensorrt_10_3_release_notes,YES,12,01_introduction.md,official_documentation,online,[EB/OL],OFFICIAL_WEB_RESOURCE,REMEDIATED,PASS_RENDERED_[EB/OL],CITED_AND_RENDERED,"Official online PDF carrier, release year, URL, and governed access date verified; rendered as EB/OL."
kim_lee_kim_2024_hyq,YES,13,01_introduction.md,research_paper,inproceedings,[C],FINAL_CONFERENCE,REMEDIATED,PASS_RENDERED_[C],CITED_AND_RENDERED,"Phase 6.3R1 authority confirms IJCAI-24:4291--4299 and the publisher's official principal place Menlo Park, CA, USA; Jeju remains event traceability only."
tang_qian_2024_yolov8_jetson_orin,YES,14,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,PASS,PASS_RENDERED_[J],CITED_AND_RENDERED,Local full text confirms existing volume and pagination.
nvidia_cuda_best_practices_12_6,YES,15,01_introduction.md,official_documentation,online,[EB/OL],OFFICIAL_WEB_RESOURCE,REMEDIATED,PASS_RENDERED_[EB/OL],CITED_AND_RENDERED,"Official NVIDIA archive page, Release 12.6 year, URL, and governed access date verified; rendered as EB/OL."
bateni_et_al_2020_integrated_memory,YES,16,01_introduction.md,research_paper,inproceedings,[C],FINAL_CONFERENCE,REMEDIATED,PASS_RENDERED_[C],CITED_AND_RENDERED,"Phase 6.3R1 authority confirms RTAS 2020:310--323 and IEEE publisher place Piscataway, NJ, USA; Sydney remains event traceability only."
rodriguez_et_al_2025_gpu_memory_allocation,YES,17,01_introduction.md,research_paper,inproceedings,[C],FINAL_CONFERENCE,PASS,PASS_RENDERED_[C],CITED_AND_RENDERED,"Phase 6.3R1 authority confirms OASIcs 127:1:1--1:15 and unchanged Schloss Dagstuhl publisher place Dagstuhl, Germany; Barcelona is event traceability only."
nvidia_cuda_programming_guide_12_6,YES,18,01_introduction.md,official_documentation,online,[EB/OL],OFFICIAL_WEB_RESOURCE,REMEDIATED,PASS_RENDERED_[EB/OL],CITED_AND_RENDERED,"Official NVIDIA archive page, Release 12.6 year, URL, and governed access date verified; rendered as EB/OL."
kim_et_al_2025_concurrent_edge_detection,YES,19,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,PASS,PASS_RENDERED_[J],CITED_AND_RENDERED,DOI and DBLP metadata confirm IEEE Access 13:1522--1533.
dean_barroso_2013_tail_scale,YES,20,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,PASS,PASS_RENDERED_[J],CITED_AND_RENDERED,ACM DOI metadata confirm Communications of the ACM 56(2):74--80.
shin_kim_2022_jetson_yolo_frameworks,YES,21,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,REMEDIATED,PASS_RENDERED_[J],CITED_AND_RENDERED,Added locally verified article number (12(8):3734).
lema_et_al_2025_surface_defect_benchmark,YES,22,01_introduction.md,research_paper,article,[J],FINAL_JOURNAL,REMEDIATED,PASS_RENDERED_[J],CITED_AND_RENDERED,Official Springer final metadata confirm Journal of Intelligent Manufacturing 37(7):3001--3018 (2026); source DOI retained and rendered DOI suppressed.
archet_et_al_2023_embedded_soc,NO,,,research_paper,inproceedings,NOT_RENDERED,NOT_RENDERED_BY_DESIGN,PASS,NOT_RENDERED_BY_DESIGN,PHASE57G_CITATION_CORRECTED,Phase 5.7G replaced the sole citation with two directly supporting memory-management sources.
nvidia_jetpack_6_2_2,NO,,,official_documentation,online,NOT_RENDERED,NOT_RENDERED_BY_DESIGN,REMEDIATED,NOT_RENDERED_BY_DESIGN,PHASE57B_PROSE_AND_CITATION_REMOVED,Phase 5.7B primary compression removed the associated prose and rendered citation.
hill_marty_2008_amdahl,NO,,,research_paper,article,NOT_RENDERED,NOT_RENDERED_BY_DESIGN,PASS,NOT_RENDERED_BY_DESIGN,PHASE57B_PROSE_AND_CITATION_REMOVED,Phase 5.7B primary compression removed the associated prose and rendered citation.
reddi_et_al_2019_mlperf_inference,NO,,,research_paper,inproceedings,NOT_RENDERED,NOT_RENDERED_BY_DESIGN,UPGRADE_METADATA,NOT_RENDERED_BY_DESIGN,PHASE57B_PROSE_AND_CITATION_REMOVED,Phase 5.7B primary compression removed the associated prose and rendered citation.
reddi_et_al_2022_mlperf_mobile,NO,,,research_paper,inproceedings,NOT_RENDERED,NOT_RENDERED_BY_DESIGN,PASS,NOT_RENDERED_BY_DESIGN,PRE_DRAFT_ADMITTED_SOURCE_RETAINED,A15 remains PRE_DRAFT_ADMITTED_SOURCE under the Phase 3 admission decision; it is intentionally not cited or rendered.
