raw_asset_id,formal_retrieval_id,formal_id_status,formal_id_basis,asset_class,relative_path,filename,extension,size_bytes,sha256,duplicate_group,duplicate_status,pdf_pages,pdf_metadata_title,pdf_metadata_author,doi_candidate,metadata_extraction_status,archive_status,notes
RAW001,D01,EXPLICIT_FILENAME,filename prefix D01,OFFICIAL_DOCUMENTATION,D01_cuda_cpp_programming_guide_12.6.pdf,D01_cuda_cpp_programming_guide_12.6.pdf,.pdf,4144918,b663837878e1df3d394014f12e6312080938f6adfe30db33703d87c3de823603,,UNIQUE,550,CUDA C++ Programming Guide,NVIDIA Corporation,,EXTRACTED,PRESENT,filename prefix D01
RAW002,D02,EXPLICIT_FILENAME,filename prefix D02,OFFICIAL_DOCUMENTATION,D02_cuda_cpp_best_practices_guide_12.6.pdf,D02_cuda_cpp_best_practices_guide_12.6.pdf,.pdf,2316611,920bf9fae435cdf8b65ab3e9c0cafaac9914a11abce0de4e98c6509a1a06723d,,UNIQUE,116,CUDA C++ Best Practices Guide,NVIDIA Corporation,,EXTRACTED,PRESENT,filename prefix D02
RAW003,D03R,EXPLICIT_FILENAME,filename prefix D03R,OFFICIAL_DOCUMENTATION,D03R_tensorrt_10.3_release_notes.pdf,D03R_tensorrt_10.3_release_notes.pdf,.pdf,3526972,ac4b5b4d1e5f5b78df89445b3707fae11e464c6d13b32e08ab772c47bfce18c5,,UNIQUE,10,,,,EXTRACTED,PRESENT,filename prefix D03R
RAW004,,NOT_APPLICABLE,,STANDARD,GBT 7714—2025 信息与文献 参考文献著录规则.pdf,GBT 7714—2025 信息与文献 参考文献著录规则.pdf,.pdf,8272789,215ed5171114f72aca9ef5fe411128d731bececb1b9d2a66248b120fa3228a38,,UNIQUE,45,,,,EXTRACTED,PRESENT,Standard asset; no formal retrieval ID assigned
RAW005,J01,EXPLICIT_FILENAME,filename prefix J01,TARGET_JOURNAL_PAPER,J01_fan_ma_2024_strip_steel_defect_yolov7.pdf,J01_fan_ma_2024_strip_steel_defect_yolov7.pdf,.pdf,5826220,24143330767c1615e119d33b121f2f3ff7b0d544c4fae3f2c77d6095e36a8071,,UNIQUE,7,,,,EXTRACTED,PRESENT,filename prefix J01
RAW006,J02,EXPLICIT_FILENAME,filename prefix J02,TARGET_JOURNAL_PAPER,J02_liu_zhang_ruan_2024_yolov5_embedded_platform.pdf,J02_liu_zhang_ruan_2024_yolov5_embedded_platform.pdf,.pdf,15607307,ba5aa054f64ac08479ef97e77eb8487cc2caaeb53a16dac4219f070ee9a14ca4,,UNIQUE,9,,,,EXTRACTED,PRESENT,filename prefix J02
RAW007,J03,EXPLICIT_FILENAME,filename prefix J03,TARGET_JOURNAL_PAPER,J03_zheng_etal_2025_production_line_yolov5s.pdf,J03_zheng_etal_2025_production_line_yolov5s.pdf,.pdf,18270076,233772377199b9f7933ca74f38365798952c28b9320b71da17d97302a554a7aa,,UNIQUE,9,,,,EXTRACTED,PRESENT,filename prefix J03
RAW008,J04,EXPLICIT_FILENAME,filename prefix J04,TARGET_JOURNAL_PAPER,J04_wang_etal_2026_scrap_yolov5s_seg.pdf,J04_wang_etal_2026_scrap_yolov5s_seg.pdf,.pdf,19540724,a7dad10297ecf17c579e7ca75815704a3c1a2209ec300cb075b7b18d3bb9e6fc,,UNIQUE,8,,,,EXTRACTED,PRESENT,filename prefix J04
RAW009,,NOT_APPLICABLE,,OFFICIAL_DOCUMENTATION,Jetson-Orin-Nano-DevKit-Carrier-Board-Specification_SP-11324-001_v1.3 (1).pdf,Jetson-Orin-Nano-DevKit-Carrier-Board-Specification_SP-11324-001_v1.3 (1).pdf,.pdf,979573,4a0f7ba948bce4881e176f0f8636ef3dbd40e3df9dd33134e6a7433359d18c02,DG001,EXACT_DUPLICATE,38,Jetson Orin Nano Developer Kit Carrier Board Specification,NVIDIA,,EXTRACTED,PRESENT,Official documentation asset; no formal retrieval ID assigned; exact duplicate retained without deletion
RAW010,,NOT_APPLICABLE,,OFFICIAL_DOCUMENTATION,Jetson-Orin-Nano-DevKit-Carrier-Board-Specification_SP-11324-001_v1.3.pdf,Jetson-Orin-Nano-DevKit-Carrier-Board-Specification_SP-11324-001_v1.3.pdf,.pdf,979573,4a0f7ba948bce4881e176f0f8636ef3dbd40e3df9dd33134e6a7433359d18c02,DG001,CANONICAL_COPY,38,Jetson Orin Nano Developer Kit Carrier Board Specification,NVIDIA,,EXTRACTED,PRESENT,Official documentation asset; no formal retrieval ID assigned; canonical filename selected without copy suffix
