experiment_id,experiment_name,experiment_purpose,paper_role,inclusion_decision,evidence_status,model_name,model_SHA256,engine_SHA256,dataset,dataset_split,manifest_SHA256,input_size,batch_size,hardware,power_mode,software_environment,Git_commit,warmup,measured_frames,run_count,timing_boundary,metric_definitions,raw_evidence,compact_evidence,formal_report,comparable_with,not_comparable_with,allowed_claims,prohibited_claims,limitations,notes
TRAINING_FREEZE,YOLOv8n training and frozen checkpoint,frozen model and training provenance,SUPPORTING_ONLY,SUPPORTING_ONLY,VERIFIED,yolov8n_neudet_frozen.pt,5e36ae9ec419a71d6cf726624450dc528f85fed39e398c07085eaf82dba8bbb7,NA,NEU-DET,historical split-v1 1260/360/180,NOT_RECORDED,640,16,NVIDIA RTX 3090 24GB,NA,Ultralytics 8.4.50; PyTorch 2.3.1+cu118; CUDA 11.8,2fddb7f35fd8fcf2a5066fddb2bec0df47b7133e,NA,NA,9,NA,mAP50 and mAP50-95; freeze identity,checkpoint archive unavailable on host,configs/train/training_evidence_manifest.json; results/training/evidence/,docs/TRAINING_FINAL_REPORT.md; docs/MODEL_FREEZE_RECORD.md,downstream frozen-model records,none,freeze and recorded training metrics only,universal split/model claim; cherry-pick or significance claim,PT binary externally verified; archive unavailable; duplicate and split-v2 disclosure,Training batch=16; inference batch is separate and not represented by this training row
PT_ONNX_CONSISTENCY,PyTorch to ONNX consistency,deployment graph and semantic output consistency,SUPPORTING_ONLY,SUPPORTING_ONLY,VERIFIED,frozen PT to frozen ONNX,5e36ae9ec419a71d6cf726624450dc528f85fed39e398c07085eaf82dba8bbb7,NA,NEU-DET,10 selected validation images,NOT_RECORDED,640,1,WSL/x86 export host,NA,Ultralytics 8.4.50; ONNX Runtime 1.23.2,ab0c74edecb520c3831c64eab13c9e9d1e046ed9,NA,10,1,per-sample model output comparison,raw MAE; bbox/confidence tolerance; count/class equality,models/onnx/yolov8n_neudet_frozen.onnx; PT external,results/onnx_export/export_metadata.json; pt_onnx_compare.json; smoke_test.json,NA,TRAINING_FREEZE source identity,performance runs or bitwise cross-platform claims,semantic consistency under recorded tolerances,bitwise equivalence; generalization,10 samples; PT source absent locally,"ONNX SHA c88ac014...; opset 17; static NCHW FP32 [1,3,640,640]"
J_ORT_CPU_BASELINE,Stage J ORT CPU serial baseline,CPU deployment background and stability reference,SUPPORTING_ONLY,SUPPORTING_ONLY,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,NA,NEU-DET,validation corpus cycle,235b062cb82166709e2ff800ec71bf92396d5348508281f822ef116d5f0962ab,640,1,Jetson Orin Nano Super,MAXN_SUPER,ORT 1.23.2 CPUExecutionProvider; FP32; Serial; JetPack 6.2.2/L4T R36.5,209b81aaf943984445bce674b4077414a8be6820,60 J5.6; J5.5 whole-process,500 J5.6; J5.5 published window,5 formal plus 5 k1,whole-process and pre-sink kept separate,FPS; process-wall FPS; J6 duration/failures,results/benchmark/jetson_ort_cpu/; local stage_j archive,results/consolidation/stage_j/stage_j_cpu_baseline_v1/,docs/personal/STAGE_J_FINAL_REPORT.md,none,K/Q/P/R protocols and cross-stage speedup,ORT CPU reference; bounded J6 observation,cross-stage speedup; J5.5 per-frame latency,J5.5 per-frame unavailable; J6 telemetry gaps,final closeout outranks earlier snapshot wording
K_TRT_FP32_BASELINE,Stage K strict FP32 noTF32 K7 reference,same-stage FP32 reference,SUPPORTING_ONLY,SUPPORTING_ONLY,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,aaa37030ca1d24838e75ad6fd1a16bdeb74072d87302c1b2cef62faa3856d74f,NEU-DET,Stage K test 180,fd978beae99d8d88b72bcf2da082ed4caddccc502d882106e0e91e27a61797b8,640,1,Jetson Orin Nano Super,MAXN_SUPER,TensorRT 10.3.0.30; CUDA 12.6.68; L4T R36.5; Serial,NOT_RECORDED_IN_K7_ARTIFACT,100,5000,3,K7 inference and E2E separate,mean latency; FPS; population SD; Type 7 percentile,results/validation/stage_k7/performance_v1/,strict FP32 manifest; K8 summary,NA,K_TRT_FP16,J ORT; Q; P; R,same-stage K7 reference,universal or cross-protocol claim,K7 source commit not recorded; diagnostic engine manifest,Use only for same-protocol K7 comparison
K_TRT_FP16,Stage K original TensorRT FP16,FP16 task-level and performance background,SUPPORTING_ONLY,INCLUDE_WITH_LIMITATION,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,6c3d12dcbd8a568d28e038f192eecfd6a3f917d06a52876de49d4e7d7750d9bc,NEU-DET,Stage K test 180,fd978beae99d8d88b72bcf2da082ed4caddccc502d882106e0e91e27a61797b8,640,1,Jetson Orin Nano Super,MAXN_SUPER,TensorRT 10.3; CUDA 12.6; Serial,99320d69... task-eval; K7 not recorded,100 task; 100 K7,180 task; 5000 K7,1 task; 3 K7,task-level; K7 inference; K7 E2E,P/R/mAP; inference/E2E latency and speedup,stage_k_task_eval_v2; stage_k6; stage_k7,stage_k_task_eval_v2 metrics; K8 summary,no dedicated STAGE_K_FINAL_REPORT.md,K_TRT_FP32_BASELINE only,J/Q/P/R,task-level accepted; bounded same-stage FP16 background,raw tensor equivalence; universal TRT claim,Raw Level B FAIL; task-level evaluation accepted; combined K authority; no independent final report,Formal raw failure is verified failure evidence; task-level acceptance remains separate
Q_TRT_INT8_ACCURACY,Stage Q INT8 PTQ accuracy,INT8 accuracy trade-off,SUPPORTING_ONLY,SUPPORTING_ONLY,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,8d96eabd182df392db08bb0f15e1c9ffc9941276965090b0cdebfb4e8c25a8ee,NEU-DET,split-v2 test 180 images / 442 boxes,ea7616df7d59a8389c2afff4ba50cf43a6a5f683860f67e68a8d79d57101b194,640,1,Jetson Orin Nano Super,MAXN_SUPER,TensorRT 10.3; INT8+FP16 mixed precision; task evaluator,NA,NA,180,1,task-level evaluation,P/R/mAP50/mAP50-95; INT8 minus FP16,results/validation/stage_q/q5_accuracy_v1/,q5 metrics_summary.json,docs/personal/STAGE_Q_FINAL_REPORT.md,Q serial/pipeline,training/K/R evaluators,measured acceptable INT8 trade-off,lossless or universal INT8,calibration train 1260; evaluator-specific; thermal gap,No QAT/ModelOpt/Q-DQ
Q_TRT_INT8_SERIAL,Stage Q INT8 serial performance,paired INT8 serial performance,SUPPORTING_ONLY,SUPPORTING_ONLY,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,8d96eabd182df392db08bb0f15e1c9ffc9941276965090b0cdebfb4e8c25a8ee,NEU-DET,split-v2 test 180,ea7616df7d59a8389c2afff4ba50cf43a6a5f683860f67e68a8d79d57101b194,640,1,Jetson Orin Nano Super,MAXN_SUPER,TensorRT 10.3; paired Serial,NA,100,5000,3,pre-sink throughput; inference/E2E ratios,speedup FP16/INT8; throughput INT8/FP16,q6_serial_performance_v1/,q6_serial_summary.json,docs/personal/STAGE_Q_FINAL_REPORT.md,Q accuracy/pipeline,J/K/P/R,INT8 serial gain with separate ratio definitions,pipeline latency; total acceleration; lossless accuracy,thermal unavailable; protocol-specific,Keep speedup and throughput separate
Q_TRT_INT8_PIPELINE,Stage Q INT8 bounded pipeline,pipeline no-material-regression check,SUPPORTING_ONLY,SUPPORTING_ONLY,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,8d96eabd182df392db08bb0f15e1c9ffc9941276965090b0cdebfb4e8c25a8ee,NEU-DET,split-v2 test 180,ea7616df7d59a8389c2afff4ba50cf43a6a5f683860f67e68a8d79d57101b194,640,1,Jetson Orin Nano Super,MAXN_SUPER,TensorRT 10.3; queue 1; block,NA,100,5000,3,pipeline throughput only,optimized/baseline throughput; zero drops/lifecycle,q7_pipeline_v1/,q7_pipeline_summary.json,docs/personal/STAGE_Q_FINAL_REPORT.md,Q serial,P and all latency metrics,pipeline throughput no material regression,single-frame latency; total acceleration,300-second confirmation; thermal gap,Use ratio 1.012575 only as throughput
P_SERIAL_PIPELINE,Stage P bounded pipeline background,offline pipeline throughput and correctness,SUPPORTING_ONLY,SUPPORTING_ONLY,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,6c3d12dcbd8a568d28e038f192eecfd6a3f917d06a52876de49d4e7d7750d9bc,NEU-DET,offline 180-cycle; 5100 accepted,fd978beae99d8d88b72bcf2da082ed4caddccc502d882106e0e91e27a61797b8,640,1,Jetson Orin Nano Super,MAXN_SUPER,TensorRT 10.3; four workers; three SPSC queues; capacity 1,NA,100,5000,6,offline wall throughput; not single-frame latency,throughput ratio; sample SD; zero drop; cycle hash,stage_p/p5_serial_vs_pipeline_v1/; local stage_p archive,P5R_EVIDENCE_INDEX.md,docs/personal/STAGE_P_FINAL_REPORT.md,Q pipeline background,Q serial latency; K7; R,4.165718x descriptive offline throughput,latency speedup; real-camera; total acceleration,thermal unavailable; raw Level B inherited,Background only; engine manifest 39caa8df...
R_V0,TIMING_ALIGNED_V0,CPU/OpenCV baseline under common boundary,CORE,INCLUDE,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,8d96eabd182df392db08bb0f15e1c9ffc9941276965090b0cdebfb4e8c25a8ee,NEU-DET,split-v2 test 180,ea7616df7d59a8389c2afff4ba50cf43a6a5f683860f67e68a8d79d57101b194,640,1,Jetson Orin Nano Super,MAXN_SUPER,TensorRT 10.3; CUDA 12.6; OpenCV 4.5.4; Serial,6885dc5c8d1099c34f1cd8d10c4b30426df61daf,60,1080,5,source pull through frame-result before JSON write,FPS; sample SD; mean/P95/P99 latency,external formal_runs; 112/112 SHA verified,timing-aligned compact manifest,PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,R_V2R; R_V3R,J/K/Q/P and old R,descriptive frozen baseline; V2R/V3R comparisons,universal CPU/cross-platform,failed attempt excluded; no R power/stability,All 15 valid runs same detection SHA
R_V2R,TIMING_ALIGNED_V2R,pageable staging plus correctness-aligned CUDA preprocessing,CORE,INCLUDE,VERIFIED,frozen ONNX,c88ac014bb6110cf14394d8bf2dfc7be05676d1b9a6ab73014f0542490245944,8d96eabd182df392db08bb0f15e1c9ffc9941276965090b0cdebfb4e8c25a8ee,NEU-DET,split-v2 test 180,ea7616df7d59a8389c2afff4ba50cf43a6a5f683860f67e68a8d79d57101b194,640,1,Jetson Orin Nano Super,MAXN_SUPER,TensorRT 10.3; CUDA 12.6; OpenCV 4.5.4; Serial,6885dc5c8d1099c34f1cd8d10c4b30426df61daf,60,1080,5,common Stage R external boundary,FPS; SD; mean/P95/P99; Gate D metrics,external formal archive; Gate D evidence,timing manifest; v2r_gate_d_v1,PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md; PAPER_V2R_GATE_D_DISPOSITION_v1.0.md,R_V0; R_V3R,all other families; old R,correctness-accepted primary average gain in tested path,universal CUDA/lossless equivalence,bounded contract and test only,Common engine/model/test identities
