source_id,source_filename,source_object_id,page,paragraph/table/object_locator,object_type,visible_text,instruction_color/status,explicit_requirement,observed_format,font_cn,font_latin,font_size_name,font_size_pt,bold,italic,alignment,left_indent,right_indent,first_line_indent,hanging_indent,line_spacing,spacing_before,spacing_after,keepNext,keepLines,pageBreakBefore,border_top,border_bottom,border_left,border_right,border_insideH,border_insideV,width,height,section_columns,column_gap,footer/header,status,literal,punctuation/grouping,authority_class,applies_to_current_manuscript,current_template_value,current_output_value,match_status,remediation_required,automatic_or_manual,notes
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P001,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 1,paragraph/run_group,排版格式及相关要求（标题不超过20字）,BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,,宋体;SimSun,SOURCE_TEXT_OR_RUN_INSPECTION,22.0,YES,NO,center,,,,,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P002,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 2,paragraph/run_group,张光明1，李  四2,BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,楷体_GB2312;楷体,,SOURCE_TEXT_OR_RUN_INSPECTION,14.0,NO,NO,center,,,,,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P003,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 3,paragraph/run_group,(1.合肥工业大学 土木与水利工程学院，安徽 合肥 230009；2.合肥工业大学 资源与环境工程学院，安徽 合肥  230009)（给出二级单位，省、市、邮编）,BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,,,SOURCE_TEXT_OR_RUN_INSPECTION,7.5,NO,NO,,,,,,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P004,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 4,paragraph/run_group,"摘  要（小5黑体）：采用第三人称写法，阐明研究的目的、方法、结果、结论，以300字左右为宜；第一次出现缩略语需要提供中英文全称，如支持向量机（support vector machine，SVM）；避免出现图、表以及参考文献的序号。（小5宋,行距14磅）",BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,黑体;SimHei,黑体;SimHei,SOURCE_TEXT_OR_RUN_INSPECTION,9.0,NO,NO,,420,295,,0,exact:280,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P005,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 5,paragraph/run_group,关键词（小5黑体）：缩略语；支持向量机（SVM）（小5宋，选词要规范，避免泛词，如“评价”）,BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,黑体;SimHei,黑体;SimHei,SOURCE_TEXT_OR_RUN_INSPECTION,9.0,NO,NO,,420,293,,0,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P006,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 6,paragraph/run_group,中图分类号：TU 411.01(必填，可http://www.ztflh.com查询)   文献标识码：A,BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,黑体;SimHei,黑体;SimHei,SOURCE_TEXT_OR_RUN_INSPECTION,9.0,NO,NO,,420,293,,0,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P007,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 7,paragraph/run_group,Review suggestion to technical paper（句首字母和专有名词大写）,BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,,,SOURCE_TEXT_OR_RUN_INSPECTION,14.0,YES,NO,center,,,,,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P008,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 8,paragraph/run_group,ZHANG Guangming1， LI Si2(姓全大写，名首字母大写),BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,,,SOURCE_TEXT_OR_RUN_INSPECTION,INHERITED_OR_UNSET,YES,NO,center,,,,,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P009,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 9,paragraph/run_group,"(1. School of Civil and Hydraulic Engineering, Hefei University of Technology, Hefei 230009, China；2. School of Resources and Environmental Engineering, Hefei University of Technology，Hefei 230009, China)",BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,,,SOURCE_TEXT_OR_RUN_INSPECTION,7.5,NO,NO,,,,,,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
HFUT_FMT_DOC,《合肥工业大学学报（自然科学版）》排版格式及相关要求.doc,HFUT_FMT_DOC-P010,LO_DERIVED_PAGE_NOT_STABLE,body paragraph 10,paragraph/run_group,"Abstract：Using third person writing, clarify the purpose, methods, results, and conclusions of the research, preferably in around 300 words. The first appearance of abbreviations requires the full Chinese and English names, such as support vector machine (SVM). Avoid numbering figures, tables, and references.（5号Times New Roman,英文摘要应与中文摘要文意一致，符合摘要写作要求）",BLACK_OR_INHERITED,Main manuscript format or front-matter rule.,LibreOffice DOC→DOCX derived OOXML inspection,,,SOURCE_TEXT_OR_RUN_INSPECTION,INHERITED_OR_UNSET,YES,NO,,,,,,:,,,NO,NO,NO,,,,,,,,,,,,,,,TEXT_RULE_GENERAL,YES,See Phase7.1 style matrix,See Phase7.1 crosswalk,CLASSIFIED,SEE_CROSSWALK,AUTOMATIC,Stable object locator; page needs Word Desktop only if visual pagination is material.
