result_id,metric_id,variant_or_comparison,metric_name,frozen_value,unit,direction,display_value,display_precision,aggregation,sample_set,source_file,source_field_or_row,evidence_status,claim_id,intended_use,limitations
S4R001,M_R_V2R_GATE_D_PRECISION,V2R,Gate_D_precision,0.6912751678,score,higher_is_better,0.6913,4 decimals,direct recorded,Stage R Gate D test,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_task_metrics.json,metrics.v2r.precision,VERIFIED,C1;C2,T2;FACT_PACKET,Gate D task-level identity; not raw tensor equivalence
S4R002,M_R_V2R_GATE_D_RECALL,V2R,Gate_D_recall,0.6990950226,score,higher_is_better,0.6991,4 decimals,direct recorded,Stage R Gate D test,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_task_metrics.json,metrics.v2r.recall,VERIFIED,C1;C2,T2;FACT_PACKET,Gate D task-level identity; not raw tensor equivalence
S4R003,M_R_V2R_GATE_D_MAP50,V2R,Gate_D_mAP50,0.6476254638,score,higher_is_better,0.6476,4 decimals,direct recorded,Stage R Gate D test,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_task_metrics.json,metrics.v2r.mAP50,VERIFIED,C1;C2,T2;FACT_PACKET,Gate D task-level identity; not raw tensor equivalence
S4R004,M_R_V2R_GATE_D_MAP5095,V2R,Gate_D_mAP50_95,0.3523443910,score,higher_is_better,0.3523,4 decimals,direct recorded,Stage R Gate D test,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_task_metrics.json,metrics.v2r.mAP50_95,VERIFIED,C1;C2,T2;FACT_PACKET,Gate D task-level identity; not raw tensor equivalence
S4R005,M_R_V0_FPS,V0,V0_FPS_mean,54.5999763574,FPS,higher_is_better,54.600,3 decimals,mean of five run FPS,V0 split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",DERIVED_VERIFIED,C1,F2;FACT_PACKET,Descriptive frozen Jetson path
S4R006,M_R_V0_FPS_SD,V0,V0_FPS_sample_sd,0.2233775769,FPS,not_goal,0.223,3 decimals,sample SD of five run FPS,V0 split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v0/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V0",DERIVED_VERIFIED,C1,F2;FACT_PACKET,Error-bar statistic only; descriptive frozen Jetson path
S4R007,M_R_V2R_FPS,V2R,V2R_FPS_mean,122.1221922222,FPS,higher_is_better,122.122,3 decimals,mean of five run FPS,V2R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v2r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V2R",DERIVED_VERIFIED,C1,F2;FACT_PACKET,Descriptive frozen Jetson path
S4R008,M_R_V2R_FPS_SD,V2R,V2R_FPS_sample_sd,0.4918299468,FPS,not_goal,0.492,3 decimals,sample SD of five run FPS,V2R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v2r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V2R",DERIVED_VERIFIED,C1,F2;FACT_PACKET,Error-bar statistic only; descriptive frozen Jetson path
S4R009,M_R_V3R_FPS,V3R,V3R_FPS_mean,127.0972584510,FPS,higher_is_better,127.097,3 decimals,mean of five run FPS,V3R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v3r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V3R",DERIVED_VERIFIED,C1,F2;FACT_PACKET,Descriptive frozen Jetson path
S4R010,M_R_V3R_FPS_SD,V3R,V3R_FPS_sample_sd,1.2792256601,FPS,not_goal,1.279,3 decimals,sample SD of five run FPS,V3R split-v2 test replay,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/set_*_v3r/metrics.json (five files),"metrics.json fields: fps, latency_ms.mean, latency_ms.p95, latency_ms.p99; variant filter=V3R",DERIVED_VERIFIED,C1,F2;FACT_PACKET,Error-bar statistic only; descriptive frozen Jetson path
