rule_id,category,requirement_summary,requirement_level,source_id,source_filename,source_authority,source_locator,source_text_paraphrase,exact_numeric_value,unit,applies_to,implementation_layer,automatic_or_manual,validation_method,phase2_5_target_step,conflict_group,status,notes
"HFUT-WEB-001","GENERAL_MANUSCRIPT","稿件须包含中英文题名、作者名、单位及所在地和邮编、摘要、关键词，以及中图分类号、正文、参考文献和作者简介","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1 来稿要求","征稿简则使用必须并列出完整稿件构成","","","full manuscript","MARKDOWN_SOURCE","HYBRID","front-matter field inventory plus Word review","STEP_5","","TEXTUALLY_EXPLICIT_REQUIREMENT","网页摘录不是模板原件；文字可追溯至目标期刊投稿指南"
"HFUT-WEB-002","TITLE_AUTHOR_AFFILIATION","中文题名一般不超过20个汉字","RECOMMENDED","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.1 题名","中文题名通常控制在20个汉字以内","20","Chinese characters","Chinese title","MARKDOWN_SOURCE","AUTOMATIC","Unicode Han-character count followed by editorial review","STEP_5","CG-TITLE-LENGTH","TEXTUALLY_EXPLICIT_REQUIREMENT","附件候选使用更强的“不超过”；严格性待项目确认"
"HFUT-WEB-003","TITLE_AUTHOR_AFFILIATION","一般不使用副题名","RECOMMENDED","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.1 题名","投稿指南通常不建议副题名","","","Chinese title","MARKDOWN_SOURCE","AUTOMATIC","check title field contains no subtitle separator","STEP_5","","TEXTUALLY_EXPLICIT_REQUIREMENT","当前文章无副题名计划"
"HFUT-WEB-004","TITLE_AUTHOR_AFFILIATION","英文题名应与中文题名含义一致","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.1 题名","中英文题名语义须对应","","","bilingual title","MARKDOWN_SOURCE","MANUAL","bilingual semantic review","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-005","ABSTRACT","中文摘要尽量写成报道性摘要并覆盖目的、方法、结果和结论","RECOMMENDED","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.2 摘要","指南建议报道性四要素摘要","","","Chinese abstract","MARKDOWN_SOURCE","MANUAL","four-element content checklist","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-006","ABSTRACT","中文摘要应具独立性和自明性且一般不少于150字","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.2 摘要","摘要须自包含；通常至少150字","150","Chinese characters minimum","Chinese abstract","MARKDOWN_SOURCE","HYBRID","character count plus manual self-containment review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT","数量表达含“一般”，最低值按投稿验收保守执行"
"HFUT-WEB-007","ABSTRACT","摘要应采用第三人称，不重复题名信息，不写引言内容，并避免图表、公式和参考文献序号","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.2 摘要","投稿指南明确摘要写法和禁止项","","","Chinese abstract","MARKDOWN_SOURCE","HYBRID","pattern scan plus editorial review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-008","ABSTRACT","英文摘要应与中文摘要文意一致并满足摘要写作要求","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.2 摘要","英文摘要与中文摘要语义一致","","","English abstract","MARKDOWN_SOURCE","MANUAL","bilingual semantic review","FINAL_SUBMISSION_REVIEW","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-009","KEYWORDS_CLASSIFICATION","中文关键词不少于4个且选词规范","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.3 关键词","至少标注4个规范中文关键词","4","keywords minimum","Chinese keywords","MARKDOWN_SOURCE","HYBRID","count and terminology review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
"HFUT-WEB-010","KEYWORDS_CLASSIFICATION","英文关键词与中文关键词一一对应；英文缩写先给出全称","MANDATORY","HFUT_WEB_EXCERPT_PDF","摘录-202608052030.pdf","USER_CAPTURED_WEB_EXCERPT_OF_OFFICIAL_GUIDE","page 1; section 1.3 关键词","双语关键词数量和含义对应，缩写先释全称","","","bilingual keywords","MARKDOWN_SOURCE","HYBRID","paired-list comparison and first-use review","SOURCE_WRITING","","TEXTUALLY_EXPLICIT_REQUIREMENT",""
