asset,element_id,claim_or_cell,authority_level,source_file,locator,validation_note
F1,F1_DOMAIN_HOST,Host/CPU execution domain,Implementation,src/serial_runner.cpp,SerialRunner frame loop,"CPU read/preprocess/postprocess calls occur on host"
F1,F1_DOMAIN_DEVICE,Device/GPU execution domain,Implementation,src/tensorrt_engine.cpp,TensorRT execution and CUDA copies,"CUDA/TensorRT calls delimit device work"
F1,F1_V0_DECODED,V0 decoded BGR input,Implementation,src/serial_runner.cpp,source.read frame,"Frame supplied to Preprocessor as OpenCV image"
F1,F1_V0_CPU_PRE,V0 CPU/OpenCV preprocessing,Implementation,src/preprocessor.cpp,Preprocessor::run,"OpenCV letterbox/convert/normalize path"
F1,F1_V0_HOST_TENSOR,V0 FP32 NCHW host tensor,Implementation,src/preprocessor.cpp,Preprocessor output construction,"Float32 NCHW host vector is produced"
F1,F1_V0_FP32_H2D,V0 FP32 host-to-device copy,Implementation,src/tensorrt_engine.cpp,cudaMemcpyAsync input copy,"Host tensor bytes copied to TensorRT input buffer"
F1,F1_SHARED_ENGINE,Same TensorRT INT8 mixed-precision Engine,Frozen evidence,docs/paper/phase5_6/phase56b_calibration_provenance.json,engine,"Frozen engine identity and precision terminology"
F1,F1_V2_DECODED,V2R decoded BGR input,Implementation,stage_r/pageable_runner.cpp,frame loop,"Decoded image enters pageable staging path"
F1,F1_V2_PAGEABLE,V2R pageable raw-image staging,Implementation,backend_tensorrt/pageable_raw_staging.cpp,PageableRawStaging,"Reusable packed pageable byte storage"
F1,F1_V2_RAW_H2D,V2R raw-image H2D,Implementation,backend_tensorrt/cuda_preprocessor.cu,cudaMemcpy2DAsync,"Packed BGR rows copied to device raw buffer"
F1,F1_V3_DECODED,V3R decoded BGR input,Implementation,stage_r/pinned_runner.cpp,frame loop,"Decoded image enters pinned staging path"
F1,F1_V3_PINNED,V3R pinned raw-image staging,Implementation,backend_tensorrt/pinned_raw_staging.cpp,cudaHostAlloc / cudaFreeHost,"Pinned buffer has explicit allocation and no silent pageable fallback"
F1,F1_V3_RAW_H2D,V3R raw-image H2D,Implementation,backend_tensorrt/cuda_preprocessor.cu,cudaMemcpy2DAsync,"Same CUDA preprocessor implementation as V2R"
F1,F1_DEVICE_RAW,Device raw buffer,Implementation,backend_tensorrt/cuda_preprocessor.cu,device raw allocation/copy target,"Raw device storage receives packed BGR input"
F1,F1_FUSED_PRE,Fused CUDA preprocessing,Implementation,backend_tensorrt/cuda_preprocessor.cu,fused kernel launch,"Letterbox/color/layout/normalization are formed on device"
F1,F1_EXTERNAL_INPUT,TensorRT-owned FP32 NCHW device input,Implementation,stage_r/pageable_runner.cpp; stage_r/pinned_runner.cpp,create_for_external_tensor,"CUDA preprocessor writes directly to backend input tensor"
F1,F1_MERGE,V2R/V3R have the same downstream CUDA path,Implementation,stage_r/pageable_runner.cpp; stage_r/pinned_runner.cpp,runner construction and frame loops,"Runner difference is staging type; CUDA preprocessor and device-input execution are shared"
F1,F1_COMPARE_MAJOR,V0→V2R is complete-path comparison,Frozen evidence,docs/paper/phase5_6/phase56b_publication_display_values.json,V0_to_V2R,"Comparison is reported only at complete-path level"
F1,F1_COMPARE_MAJOR_VALUES,V0→V2R 2.24× FPS and −55.45% mean latency,Frozen evidence,docs/paper/phase5_6/phase56b_publication_display_values.json,display comparisons,"Publication precision retained"
F1,F1_COMPARE_MARGIN,V2R→V3R isolates host staging allocation type,Implementation,backend_tensorrt/pageable_raw_staging.cpp; backend_tensorrt/pinned_raw_staging.cpp,allocation implementations,"Downstream CUDA/TensorRT path is unchanged"
F1,F1_COMPARE_MARGIN_VALUES,V2R→V3R +4.07% FPS and −4.03% mean latency,Frozen evidence,docs/paper/phase5_6/phase56b_publication_display_values.json,V2R_to_V3R,"Complete-path observations only"
F1,F1_TAIL,P95/P99 changes below 0.2 percent and opposite directions,Frozen evidence,docs/paper/phase5_6/phase56b_publication_display_values.json,pooled tail comparison,"Formal verdict is MIXED"
F1,F1_PAYLOAD_V0,V0 nominal input-copy payload 4915200 bytes / 4.915 MB,Frozen derived evidence,docs/paper/phase5_6/phase56b_nominal_payload.json,V0,"Input 1×3×640×640 FP32"
F1,F1_PAYLOAD_GPU,V2R/V3R nominal input-copy payload 120000 bytes / 0.120 MB,Frozen derived evidence,docs/paper/phase5_6/phase56b_nominal_payload.json,V2R and V3R,"Observed fixed image workload dimensions govern raw packed payload"
F1,F1_PAYLOAD_RATIO,Nominal size ratio 40.96× and not measured bus traffic,Frozen derived evidence,docs/paper/phase5_6/phase56b_nominal_payload.json,ratio and guard,"Guard copied verbatim in meaning"
F2,F2_HOST_DECODED,Host decoded CV_8UC3 BGR,Implementation,stage_r/pageable_runner.cpp; stage_r/pinned_runner.cpp,frame source output,"OpenCV BGR image enters staging"
F2,F2_STAGE_BRANCH,Pageable/pinned packed staging branch,Implementation,backend_tensorrt/pageable_raw_staging.cpp; backend_tensorrt/pinned_raw_staging.cpp,pack/allocate methods,"Only allocation/storage type differs"
F2,F2_H2D,cudaMemcpy2DAsync crosses host/device boundary,Implementation,backend_tensorrt/cuda_preprocessor.cu,cudaMemcpy2DAsync,"2-D async row copy is actual API call"
F2,F2_RAW_BUFFER,Persistent device raw buffer,Implementation,backend_tensorrt/cuda_preprocessor.cu,allocation and reuse,"Device raw allocation is retained by preprocessor instance"
F2,F2_STREAM_COPY,Copy uses TensorRT CUDA stream,Implementation,backend_tensorrt/cuda_preprocessor.cu,stream_ argument to cudaMemcpy2DAsync,"Stream is provided by backend"
F2,F2_FUSED_KERNEL,Fused preprocessing kernel,Implementation,backend_tensorrt/cuda_preprocessor.cu,kernel launch,"Kernel performs GPU tensor formation"
F2,F2_STREAM_KERNEL,Kernel uses same TensorRT CUDA stream,Implementation,backend_tensorrt/cuda_preprocessor.cu,kernel launch stream,"No separate preprocessing stream"
F2,F2_TRT_INPUT,TensorRT-owned FP32 NCHW device input persists/reuses,Implementation,stage_r/pageable_runner.cpp; stage_r/pinned_runner.cpp,create_for_external_tensor,"External device tensor is backend input"
F2,F2_ENQUEUE,TensorRT enqueueV3,Implementation,src/tensorrt_engine.cpp,enqueueV3 call,"Inference is issued after preprocessing on engine stream"
F2,F2_STREAM_ENQUEUE,enqueueV3 shares the TensorRT stream,Implementation,src/tensorrt_engine.cpp,enqueueV3 stream argument,"Same stream handle orders operations"
F2,F2_OUTPUT_BUFFER,Device output buffer,Implementation,src/tensorrt_engine.cpp,output tensor handling,"Inference outputs reside on device before copy"
F2,F2_OUTPUT_D2H,Output device-to-host copy,Implementation,src/tensorrt_engine.cpp,cudaMemcpyAsync output copy,"Output copy is ordered on engine stream"
F2,F2_CPU_POST,CPU decode/confidence filtering/NMS,Implementation,src/postprocessor_decode.cpp; src/postprocessor_nms.cpp,decode and NMS,"Postprocessing remains CPU-side"
F2,F2_STAGE_LIFECYCLE,Staging allocated before loop and reused,Implementation,stage_r/pageable_runner.cpp; stage_r/pinned_runner.cpp,construction before frame loop,"No per-frame staging allocation in formal loop"
F2,F2_DEVICE_LIFECYCLE,Device raw and input buffers reused,Implementation,backend_tensorrt/cuda_preprocessor.cu; src/tensorrt_engine.cpp,object-owned buffers,"Allocation lifecycle spans frames"
F2,F2_EXCLUSION,Single-stream single-frame sequential with no cross-frame overlap,Implementation,stage_r/pageable_runner.cpp; stage_r/pinned_runner.cpp,serial frame loop,"No pipeline queue or overlapping frame schedule"
F3,F3_PANEL_A,FPS mean and sample SD across five process values,Frozen evidence,docs/paper/phase5_6/phase56b_run_level_metrics.csv,15 rows / five per variant,"Generator recomputes mean and ddof=1 SD"
