source_id,paragraph_id,visible_text,role,applies_to_current_manuscript,classification_basis,status
HFUT_FMT_DOC,P001,排版格式及相关要求（标题不超过20字）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P002,张光明1，李  四2,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P003,(1.合肥工业大学 土木与水利工程学院，安徽 合肥 230009；2.合肥工业大学 资源与环境工程学院，安徽 合肥  230009)（给出二级单位，省、市、邮编）,MANUSCRIPT_SPECIMEN_CONTENT,YES,CN affiliation specimen,CLASSIFIED
HFUT_FMT_DOC,P004,"摘  要（小5黑体）：采用第三人称写法，阐明研究的目的、方法、结果、结论，以300字左右为宜；第一次出现缩略语需要提供中英文全称，如支持向量机（support vector machine，SVM）；避免出现图、表以及参考文献的序号。（小5宋,行距14磅）",MANUSCRIPT_SPECIMEN_CONTENT,YES,CN abstract specimen,CLASSIFIED
HFUT_FMT_DOC,P005,关键词（小5黑体）：缩略语；支持向量机（SVM）（小5宋，选词要规范，避免泛词，如“评价”）,MANUSCRIPT_SPECIMEN_CONTENT,YES,CN keywords specimen,CLASSIFIED
HFUT_FMT_DOC,P006,中图分类号：TU 411.01(必填，可http://www.ztflh.com查询)   文献标识码：A     ,MANUSCRIPT_SPECIMEN_CONTENT,YES,CLC/document-code specimen,CLASSIFIED
HFUT_FMT_DOC,P007,Review suggestion to technical paper（句首字母和专有名词大写）,MANUSCRIPT_SPECIMEN_CONTENT,YES,EN title specimen,CLASSIFIED
HFUT_FMT_DOC,P008,ZHANG Guangming1， LI Si2(姓全大写，名首字母大写),MANUSCRIPT_SPECIMEN_CONTENT,YES,EN author specimen,CLASSIFIED
HFUT_FMT_DOC,P009,"(1. School of Civil and Hydraulic Engineering, Hefei University of Technology, Hefei 230009, China；2. School of Resources and Environmental Engineering, Hefei University of Technology，Hefei 230009, China)",MANUSCRIPT_SPECIMEN_CONTENT,YES,EN affiliation specimen,CLASSIFIED
HFUT_FMT_DOC,P010,"Abstract：Using third person writing, clarify the purpose, methods, results, and conclusions of the research, preferably in around 300 words. The first appearance of abbreviations requires the full Chinese and English names, such as support vector machine (SVM). Avoid numbering figures, tables, and references.（5号Times New Roman,英文摘要应与中文摘要文意一致，符合摘要写作要求）",MANUSCRIPT_SPECIMEN_CONTENT,YES,EN abstract specimen,CLASSIFIED
HFUT_FMT_DOC,P011,Key words：abbreviations；support vector machine (SVM)（英文关键词与中文关键词词义、数量、顺序一致）,MANUSCRIPT_SPECIMEN_CONTENT,YES,EN keywords specimen,CLASSIFIED
HFUT_FMT_DOC,P012,引  言（四号黑体，顶格左排）,MANUSCRIPT_SPECIMEN_CONTENT,YES,introduction specimen,CLASSIFIED
HFUT_FMT_DOC,P013,作者需严格按此论文排版格式与要求线上投稿，两次修改后未达到本刊格式要求直接退稿处理。（五号宋体/Times New Roman）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P014,正文首次出现缩略语需提供中英文全称，如支持向量机（support vector machine，SVM）。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P015,1  一级标题（四号黑体）,MANUSCRIPT_SPECIMEN_CONTENT,YES,H1 specimen,CLASSIFIED
HFUT_FMT_DOC,P016,1.1  二级标题（五号黑体）,MANUSCRIPT_SPECIMEN_CONTENT,YES,H2 specimen,CLASSIFIED
HFUT_FMT_DOC,P017,1.1.1  三级标题（五号楷体）,MANUSCRIPT_SPECIMEN_CONTENT,YES,H3 specimen,CLASSIFIED
HFUT_FMT_DOC,P018,（各级标题均不转行）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,heading no-wrap instruction,CLASSIFIED
HFUT_FMT_DOC,P019,……,EDITORIAL_PLACEHOLDER,NO,ellipsis placeholder,CLASSIFIED
HFUT_FMT_DOC,P020,1.1.2  三级标题（五号楷体）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P021,……,EDITORIAL_PLACEHOLDER,NO,ellipsis placeholder,CLASSIFIED
HFUT_FMT_DOC,P022,1.2  二级标题（五号黑体）,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P023,……,EDITORIAL_PLACEHOLDER,NO,ellipsis placeholder,CLASSIFIED
HFUT_FMT_DOC,P024,2  公式要求,FORMAT_DOCUMENT_OWN_HEADING,NO,equation-requirement section heading,CLASSIFIED
HFUT_FMT_DOC,P025,本刊公式要求参照下载中心里《学术论文编写规则》（GB/T 7713.2—2022）和《物理科学和技术中使用的数学符号》（GB 3102.11-93）。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,equation instruction,CLASSIFIED
HFUT_FMT_DOC,P026,本刊公式必须用MathType公式编辑器录入编辑，数学式必须以正确的数学形式表示。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,equation instruction,CLASSIFIED
HFUT_FMT_DOC,P027,所有变量均斜体表示，角标一般为正体，当角标为变量时也为斜体；,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P028,除函数名和特殊物理量之外，变量均用1个字母表示，可加下标以示区分或补充含义；矩阵、向量、矢量必须用加黑(粗)的斜体字母表示。,MANUSCRIPT_FORMAT_INSTRUCTION,YES,format-document instruction,CLASSIFIED
HFUT_FMT_DOC,P029,公式示例如下：,MANUSCRIPT_FORMAT_INSTRUCTION,YES,equation instruction,CLASSIFIED
