# Previous version: docs/paper/phase0/PAPER_EXPERIMENT_USE_MATRIX_v1.0.csv
# Supersedes: Paper Phase 0 experiment use matrix v1.0.
# Supersession reason: final evidence reconciliation after Paper Phase 0.5 validity remediation.
# Effective authority date: 2026-08-04.
# Basis: Paper Phase 0.5 validity remediation.
stage,experiment_id,contribution_grade,evidence_status,thesis_use,engineering_paper_use,paper_section_role,primary_metrics,timing_boundary,allowed_claim,mandatory_limitation,excluded_claim,authority_path,machine_result_path,figure_or_table_candidate,rerun_required,notes
R,timing_aligned_v0_formal,A,CANONICAL,CORE,CORE,Formal Stage R baseline,"FPS mean 54.600; SD 0.223; latency mean/P95/P99 18.273/18.854/19.068 ms",common external source-pull through frame-result boundary,"CPU/OpenCV correctness baseline under the frozen contract",Descriptive five-run aggregate on frozen workload,Universal CPU or cross-platform performance,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,CORE_TABLE,NO,Formal object
R,timing_aligned_v2r_formal,A,CANONICAL,CORE,CORE,Formal Stage R accepted CUDA preprocessing,"FPS mean 122.122; SD 0.492; latency mean/P95/P99 8.140/9.827/11.529 ms",common external source-pull through frame-result boundary,"Pageable raw staging plus correctness-aligned CUDA preprocessing improves average performance in the tested path",Bounded platform/model/Engine/workload and Gate D contract,Universal CUDA preprocessing or lossless equivalence,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,CORE_TABLE,NO,Formal object
R,timing_aligned_v3r_formal,A,CANONICAL,CORE,CORE,Formal Stage R pinned companion,"FPS mean 127.097; SD 1.279; latency mean/P95/P99 7.812/9.842/11.515 ms",common external source-pull through frame-result boundary,"Pinned staging supplies limited average FPS/mean-latency benefit over V2R",No clear P95/P99 improvement; marginal optimization only,Universal pinned-memory or tail-latency conclusion,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,CORE_TABLE,NO,Formal object
R,v2r_gate_d,A,CANONICAL,SUPPORTING,CORE,Correctness gate,"P/R/mAP50/mAP50-95 0.6912751678/0.6990950226/0.6476254638/0.3523443910; all deltas 0",frozen 180-image task evaluation,Gate D PASS and V2R correctness accepted,Bounded frozen contract; not universal bitwise equivalence,Correctness equivalence outside tested contract,docs/paper/phase0_5/PAPER_V2R_GATE_D_DISPOSITION_v1.0.md,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_gate_d_decision.json,CORE_TRADEOFF_TABLE,NO,Formal one-time Gate D
R,v3r_correctness_inheritance,A,CANONICAL,SUPPORTING,CORE,Correctness identity inheritance,"same tensor/detection digest; 180 frames; zero drop; EOS PASS",frozen 180-image identity replay,V3R accepted with identity evidence,Not an independent Gate D parameter-selection run,Independent V3R Gate D claim,docs/paper/phase0_5/PAPER_V2R_GATE_D_DISPOSITION_v1.0.md,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v3r_identity_check.json,CORE_TRADEOFF_TABLE,NO,Pinned companion
Q,checkpoint_selection_sensitivity_control,B,CANONICAL,SUPPORTING,BACKGROUND,Dataset remediation and model-selection sensitivity,"nine checkpoints; seed7 rank 1 on both splits; all ranks unchanged",matched reconstructed split-v1 versus split-v2 validation,"Seed7 selection is confirmed under matched control",Historical absolute validation values are not byte-identically reproduced,Retraining necessity or statistical seed guarantee,docs/paper/phase0_5/PAPER_DATASET_SPLIT_SENSITIVITY_FINAL_v1.0.md,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/matched_split_comparison.json,THESIS_SUPPORT_TABLE,NO,Disclose duplicate and sensitivity
Q,split_v2_deduplicated,B,CANONICAL,SUPPORTING,SUPPORTING,Dataset and calibration boundary,"1260/359/180; test unchanged",split contract,"Split-v2 is current dataset authority",Historical split-v1 is disclosure only,Duplicate-free claim for historical split,docs/personal/STAGE_Q_FINAL_REPORT.md,results/validation/stage_q/split_v2_deduplicated/split_v2_statistics.json,CONTRACT_TABLE,NO,Supporting prerequisite
Q,q3_int8_calibration_build,B,CANONICAL,SUPPORTING,SUPPORTING,INT8 prerequisite,1260 calibration images and frozen Engine identity,frozen calibration/build contract,INT8 build provenance,External Engine/cache and no new quantization method,New quantization algorithm,docs/personal/STAGE_Q3_FORMAL_CALIBRATION_REPORT.md,results/build/tensorrt/q3_int8_engine_v1/formal_calibration_manifest.json,METHOD_TABLE,NO,Supporting prerequisite
Q,q5_accuracy_v1,B,CANONICAL,SUPPORTING,SUPPORTING,INT8 accuracy prerequisite,FP16/INT8 task metrics and deltas,frozen 180-image task evaluation,Measured INT8 task trade-off,Accuracy is not lossless,Lossless INT8,docs/personal/STAGE_Q_FINAL_REPORT.md,results/validation/stage_q/q5_accuracy_v1/metrics_summary.json,ACCURACY_TABLE,NO,Supporting prerequisite
P,p5_pipeline_background,C,BACKGROUND,SUPPORTING,BACKGROUND,Pipeline execution-form background,4.165718x descriptive offline throughput,Stage P corrected offline wall-throughput boundary,Stage P is background only,No single-frame latency or real-camera inference,Pipeline as small-paper core,docs/personal/STAGE_P_FINAL_REPORT.md,results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5R_EVIDENCE_INDEX.md,BACKGROUND_TABLE,NO,Not core; no rerun
R,old_attempt2_v2_v3_historical,SUPERSEDED,EXCLUDED,EXCLUDED,EXCLUDED,Historical remediation motivation,old Attempt 2 V2/V3 comparison,old non-final boundary,May explain timing mismatch and remediation chronology,Must not supply final numerical authority,Final-paper performance or abstract claim,docs/paper/phase0_5/PAPER_CORE_VALIDITY_AUDIT_v1.0.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/aggregate_metrics.json,NONE,NO,SUPERSEDED_FOR_FINAL_PAPER_USE
R,old_attempt2_formal_table,SUPERSEDED,EXCLUDED,EXCLUDED,EXCLUDED,Historical four-branch table,old Attempt 2 V0/V2/V3/V4 table,old non-final boundary,Audit trail only,Do not use old performance numbers,Final paper table/figure/abstract/conclusion,docs/paper/phase0_5/PAPER_PHASE0_5D_G_EXECUTION_REPORT.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/aggregate_metrics.json,NONE,NO,Replaced by timing-aligned formal package
R,v4_formal_performance,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Excluded V4 performance,none accepted,serialized fixed-slot rotation,No formal V4 performance claim,PARTIAL_BUFFER_ROTATION_NOT_TRUE_OVERLAP,Formal performance table,docs/paper/phase0_5/PAPER_CORE_VALIDITY_AUDIT_v1.0.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/aggregate_metrics.json,NONE,NO,Excluded
R,v4_pareto,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Excluded Pareto,none accepted,serialized fixed-slot rotation,No V4 Pareto conclusion,Not a true double-buffer or overlap result,Formal ablation/Pareto/core contribution,docs/paper/phase0_5/PAPER_CORE_VALIDITY_AUDIT_v1.0.md,results/validation/stage_r/r5_pareto_closeout_v1/stage_r_pareto_summary.json,NONE,NO,Excluded
R,v4_double_buffer_claim,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Excluded overlap claim,none accepted,serialized fixed-slot rotation,Only two-slot serial rotation may be retained as limitation history,No cross-frame overlap/multi-stream/causal OOM claim,Double-buffer core contribution,docs/paper/phase0_5/PAPER_CORE_VALIDITY_AUDIT_v1.0.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/failure.json,NONE,NO,Excluded claim
