rule_id,source_id,source_object_id,format_element,official_text_rule,official_specimen_value,resolved_numeric_value,current_reference_docx,current_filter,current_postprocessor,current_validator,current_full_docx,match_status,authority,submission_or_editorial,automatic_or_manual,remediation_required,remediation_implemented,remaining_manual_action,validation_method,risk,notes
FMT-001,HFUT_FMT_DOC,P001,CN title,≤20 Chinese characters; 22 pt SimSun bold centered,22 pt / centered,22 pt / centered,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,MATCH,MATCH,HFUT source object,SUBMISSION,MANUAL,NO,N/A,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-002,HFUT_FMT_DOC,P003,CN affiliation,outer grouping parentheses,(affiliation),(affiliation),HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-003,HFUT_FMT_DOC,P004,CN abstract,摘 要; L420/R295; 9 pt/14 pt,420/295 twips,420/295 twips,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-004,HFUT_FMT_DOC,P005,CN keywords,关键词; L420/R293,420/293 twips,420/293 twips,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-005,HFUT_FMT_DOC,P006,CLC/document code,中图分类号 and 文献标识码：A,L420/R293; A,L420/R293; A,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-006,HFUT_FMT_DOC,P007,EN title,sentence initial/proper-noun capitals,sentence style,sentence style,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-007,HFUT_FMT_DOC,P009,EN affiliation,outer grouping parentheses,(affiliation),(affiliation),HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-008,HFUT_FMT_DOC,P011,EN keywords,Key words：,literal label,literal label,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-009,HFUT_FMT_DOC,P012,Introduction,0 引 言; 14 pt Heiti,explicit 0 + spaced label,explicit 0 + spaced label,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-010,HFUT_FMT_DOC,P015-P018,Heading hierarchy,H1 14pt Heiti; H2 10.5pt Heiti; H3 10.5pt Kaiti,named styles,named styles,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,MATCH,MATCH,HFUT source object,SUBMISSION,MANUAL,NO,N/A,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-011,HFUT_FMT_DOC,P013-P014,Body,first-line 438 twips,438 twips,438 twips,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,MATCH,MATCH,HFUT source object,SUBMISSION,MANUAL,NO,N/A,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-012,HFUT_FMT_DOC,P039-P044,Figure captions,六号黑体 centered,7.5 pt Heiti centered,7.5 pt Heiti centered,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,MATCH,MATCH,HFUT source object,SUBMISSION,MANUAL,NO,N/A,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-013,HFUT_FMT_DOC,P047-P049,Tables,three-line; caption/content 六号,"1/0.5 pt, 7.5 pt","1/0.5 pt, 7.5 pt",HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,MATCH,MATCH,HFUT source object,SUBMISSION,MANUAL,NO,N/A,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
FMT-014,HFUT_FMT_DOC,footer,Correspondence,first-page author biography; no inline sample line,footer biography,footer biography,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,REMEDIATED,REMEDIATED,HFUT source object,SUBMISSION,AUTOMATIC,YES,YES,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
REF-001,HFUT_REF_DOC,P003,References,六号 Songti/TNR; 14 pt,7.5 pt; 14 pt,7.5 pt; 14 pt,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,MATCH,MATCH,HFUT source object,SUBMISSION,MANUAL,NO,N/A,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
REF-002,HFUT_REF_DOC,P006-P041,Reference indentation,examples vary 227–396 twips,360 adaptive-project mechanism,360 adaptive-project mechanism,HFUT_SOURCE_DERIVED_PRODUCTION_STYLE,full_manuscript_filter.lua,postprocess_full_manuscript_docx.py,validate_journal_format_docx.py,MATCH,MATCH,HFUT source object,SUBMISSION,MANUAL,NO,N/A,NONE,OOXML/source-contract validator,LOW,Phase 7.1 source-derived contract.
