audit_id,rule_id,source_id,source_authority,requirement,requirement_class,target_part_or_style,expected_value,actual_value_full,actual_value_anonymous,actual_source,automatic_result,visual_result,windows_result,compliance_status,governance_status,blocking_for_phase2_5,blocking_for_phase3,required_action,notes
JFR-001,HFUT-WEB-032,HFUT_FMT_DOC,STYLE_EVIDENCE_CONFIRMED,A4 portrait page geometry,STYLE_EMBEDDED,word/document.xml sectPr/pgSz,"{""h"":""16838"",""w"":""11906""}","[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]","[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]",DOCX OOXML,PASS,LibreOffice preview reports A4,WINDOWS_FINAL_REQUIRED,PASS_STYLE_EVIDENCE_CONFIRMED,NO_DRIFT,NO,NO,Retain and recheck in final Word output,
JFR-002,HFUT-FMT-028,HFUT_FMT_DOC,STYLE_EVIDENCE_CONFIRMED,Margins 1361/1304/1134/1304 twips; gutter 0,STYLE_EMBEDDED,sectPr/pgMar,"{""bottom"":""1134"",""gutter"":""0"",""left"":""1304"",""right"":""1304"",""top"":""1361""}","[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]","[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]",DOCX OOXML,PASS,A4 preview consistent,WINDOWS_FINAL_REQUIRED,PASS_STYLE_EVIDENCE_CONFIRMED,NO_DRIFT,NO,NO,Retain and recheck in final Word output,
JFR-003,HFUT-AUDIT-COLUMNS,HFUT_FMT_DOC,STYLE_EVIDENCE_CONFIRMED,Single-column front matter to two-column body; 425-twip gap,PROJECT_DERIVED_CANDIDATE,sectPr/type and cols,"[{""num"":""1"",""space"":""425""},{""num"":""2"",""space"":""425""}]","[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]","[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]",DOCX OOXML,PASS,LibreOffice preview shows page-2 two-column body,WINDOWS_FINAL_REQUIRED,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Retain candidate; Word final review,
JFR-004,HFUT-AUDIT-PAGE,REFERENCE_DOCX_DESIGN,PROJECT_DERIVED_CANDIDATE,Footer carries PAGE field without page-number restart,PROJECT_DERIVED_CANDIDATE,word/footer*.xml; sectPr/pgNumType,PAGE present; pgNumType absent,"[{""instruction"":""PAGE"",""part"":""word/footer1.xml""},{""instruction"":""PAGE"",""part"":""word/footer2.xml""}]","[{""instruction"":""PAGE"",""part"":""word/footer1.xml""},{""instruction"":""PAGE"",""part"":""word/footer2.xml""}]",DOCX OOXML,PASS,LibreOffice preview shows pages 1 and 2,WINDOWS_FINAL_REQUIRED,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Refresh/check PAGE manually in Word,
JFR-005,HFUT-FMT-001,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Chinese title semantic role and <=20-character content rule,TEXTUALLY_EXPLICIT,HFUTTitleCN,Style used; final title <=20 Chinese characters,1,1,DOCX style usage,PASS,Synthetic title only,FINAL_CONTENT_PENDING,FINAL_CONTENT_PENDING,NO_DRIFT,NO,YES,Validate real title during Phase 3,
JFR-006,HFUT-FMT-008,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,English title corresponds to Chinese and uses required capitalization,TEXTUALLY_EXPLICIT,HFUTTitleEN,Style used; bilingual semantic review,1,1,DOCX style usage,PASS,Synthetic title only,FINAL_CONTENT_PENDING,FINAL_CONTENT_PENDING,NO_DRIFT,NO,YES,Validate real bilingual title during Phase 3,
JFR-007,HFUT-FMT-002;HFUT-FMT-009,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Full includes author/affiliation roles; Anonymous omits identity roles,TEXTUALLY_EXPLICIT,HFUTAuthors*/HFUTAffiliation*,Full used; Anonymous absent,"{""HFUTAcknowledgement"":1,""HFUTAffiliationCN"":1,""HFUTAffiliationEN"":1,""HFUTAuthorBiography"":0,""HFUTAuthorsCN"":1,""HFUTAuthorsEN"":1,""HFUTFunding"":1}","{""HFUTAcknowledgement"":0,""HFUTAffiliationCN"":0,""HFUTAffiliationEN"":0,""HFUTAuthorBiography"":0,""HFUTAuthorsCN"":0,""HFUTAuthorsEN"":0,""HFUTFunding"":0}",DOCX style usage,PASS,Synthetic identity only,WINDOWS_FINAL_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Populate only verified real identity in final Full,
JFR-008,HFUT-WEB-025;HFUT-WEB-026;HFUT-WEB-031,HFUT_WEB_EXCERPT_PDF,TEXTUALLY_EXPLICIT_REQUIREMENT,Author biography must be in first-page footer; funding conditional; acknowledgement governed,TEXTUALLY_EXPLICIT,first-page footer versus body paragraphs,Biography in first-page footer,"{""body_biography_count"":0,""footer_details"":{""word/footer1.xml"":{""fields"":[""PAGE""],""styles"":[""PageNumber""],""text"":""""},""word/footer2.xml"":{""fields"":[""PAGE""],""styles"":[""HFUTAuthorBiography"",""PageNumber""],""text"":""TOOLCHAIN TEST 虚拟作者简介，仅用于首页页脚能力验证""}},""sections"":[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]}","{""body_biography_count"":0,""footer_details"":{""word/footer1.xml"":{""fields"":[""PAGE""],""styles"":[""PageNumber""],""text"":""""},""word/footer2.xml"":{""fields"":[""PAGE""],""styles"":[""PageNumber""],""text"":""""}},""sections"":[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]}",DOCX paragraph/footer relationship inspection,PASS,Frozen v7 preview confirms the Full biography in the first-page footer and no Anonymous identity,WINDOWS_V7_FIRST_OPEN_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Confirm first-page footer placement during final v7 Word acceptance,No claim is made that funding or acknowledgement share the biography footer rule
JFR-009,HFUT-FMT-003,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Chinese abstract label/body fonts and 14-pt line spacing,TEXTUALLY_EXPLICIT,HFUTAbstractLabelCN/HFUTAbstractBodyCN,9 pt Heiti/Songti; exact 14 pt,"{""HFUTAbstractBodyCN"":{""alignment"":""both"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""18"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTAbstractBodyCN"",""table_properties"":null,""type"":""paragraph""},""HFUTAbstractLabelCN"":{""alignment"":""both"",""basedOn"":""Normal"",""bold"":true,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""黑体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""18"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTAbstractLabelCN"",""table_properties"":null,""type"":""paragraph""}}","{""HFUTAbstractBodyCN"":{""alignment"":""both"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""18"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTAbstractBodyCN"",""table_properties"":null,""type"":""paragraph""},""HFUTAbstractLabelCN"":{""alignment"":""both"",""basedOn"":""Normal"",""bold"":true,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""黑体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""18"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTAbstractLabelCN"",""table_properties"":null,""type"":""paragraph""}}",DOCX styles.xml,PASS,Synthetic content renders,WINDOWS_FINAL_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Retain styles and validate final abstract,
JFR-010,HFUT-FMT-010,HFUT_FMT_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,English abstract five-size Times New Roman and semantic equivalence,TEXTUALLY_EXPLICIT,HFUTAbstractBodyEN,10.5 pt Times New Roman; final bilingual review,"{""alignment"":""both"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""Times New Roman"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTAbstractBodyEN"",""table_properties"":null,""type"":""paragraph""}","{""alignment"":""both"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""Times New Roman"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":""21"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTAbstractBodyEN"",""table_properties"":null,""type"":""paragraph""}",DOCX styles.xml,PASS,Synthetic content only,FINAL_CONTENT_PENDING,FINAL_CONTENT_PENDING,NO_DRIFT,NO,YES,Validate real bilingual abstract,
