# Previous version: docs/paper/phase0/PAPER_ASSET_MANIFEST_v1.0.csv
# Supersedes: Paper Phase 0 asset manifest v1.0.
# Supersession reason: final evidence reconciliation after Paper Phase 0.5 validity remediation.
# Effective authority date: 2026-08-04.
# Basis: Paper Phase 0.5 validity remediation.
stage,experiment_id,asset_status,authority_document,raw_data_path,summary_path,config_path,environment_path,manifest_or_hash_path,primary_metrics,possible_paper_use,allowed_claim,restriction,replacement_asset,notes
Q,split_v2_deduplicated,CANONICAL,docs/personal/STAGE_Q_FINAL_REPORT.md,results/validation/stage_q/split_v2_deduplicated/,results/validation/stage_q/split_v2_deduplicated/split_v2_statistics.json,docs/personal/STAGE_Q_SPLIT_REMEDIATION_PLAN.md,results/validation/stage_q/q1_platform_asset_preflight_v1/platform_summary.json,results/validation/stage_q/split_v2_deduplicated/duplicate_resolution_report.json,"1260/359/180; zero path/content overlap",dataset and calibration boundary,"Deduplicated split-v2 is current authority; test remains 180","Historical split-v1 duplicate must be disclosed",,Stage Q supporting evidence
Q,split_v1_selection_history,HISTORICAL_WITH_DISCLOSURE,docs/paper/phase0_5/PAPER_DATASET_SPLIT_SENSITIVITY_FINAL_v1.0.md,,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/matched_split_comparison.json,,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/environment.json,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/artifact_sha256.txt,"360 validation; one train/validation image-content duplicate",remediation disclosure,"Historical split may explain chronology and matched control","Not current split authority",results/validation/stage_q/split_v2_deduplicated/,Historical with disclosure
Q,checkpoint_selection_sensitivity_control_v1,CANONICAL,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/PAPER_PHASE0_5B_MATCHED_CONTROL_REPORT.md,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/matched_split_comparison.json,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/evaluation_contract.json,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/environment.json,docs/paper/phase0_5/evidence/checkpoint_selection_sensitivity_control_v1/artifact_sha256.txt,"nine checkpoints; seed7 rank 1 on v1/v2; all ranks unchanged",selection-sensitivity support,"Seed7 selection is confirmed under matched control","Reconstructed absolute metrics are not byte-identical historical reproduction",,SEED7_SELECTION_CONFIRMED_MATCHED_CONTROL
R,v2r_preprocessing_correctness,CANONICAL,docs/paper/phase0_5/PAPER_V2R_GATE_D_DISPOSITION_v1.0.md,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_result.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_task_metrics.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_run_manifest.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/environment.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/artifact_sha256.txt,"P/R/mAP50/mAP50-95; all V0 deltas 0",formal correctness table,"V2R correctness is accepted under the frozen contract","Bounded to frozen platform, model, Engine, thresholds, and 180-image test",,Gate D input
R,v2r_gate_d,CANONICAL,docs/paper/phase0_5/PAPER_V2R_GATE_D_DISPOSITION_v1.0.md,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_result.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_gate_d_decision.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v2r_run_manifest.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/environment.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/artifact_sha256.txt,"six gates PASS; zero observed drops",Gate D result,"V2R Gate D is PASS and accepted","Not universal bitwise equivalence or a performance result",,Formal one-time Gate D
R,v3r_identity_correctness_inheritance,CANONICAL,docs/paper/phase0_5/PAPER_V2R_GATE_D_DISPOSITION_v1.0.md,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v3r_result.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v3r_identity_check.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/v3r_run_manifest.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/environment.json,docs/paper/phase0_5/evidence/v2r_gate_d_v1/artifact_sha256.txt,"same tensor/detection digest; 180 frames; zero drop; EOS PASS",correctness inheritance note,"V3R is accepted with identity evidence","Not an independent Gate D parameter-selection run",,Pinned companion identity
R,timing_aligned_v0_formal,CANONICAL,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,configs/stage_r/runtime_v6_v0_timing_aligned.yaml,docs/paper/phase0_5/evidence/timing_aligned_harness_preflight_v1/environment.json,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/artifact_sha256.txt,"54.600 FPS; 18.273 ms mean; P95 18.854; P99 19.068",formal Stage R core table,"CPU/OpenCV correctness baseline under common timing boundary","Descriptive five-run aggregate on frozen workload",,15-run formal package
R,timing_aligned_v2r_formal,CANONICAL,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,configs/stage_r/runtime_v6_v2r_timing_aligned.yaml,docs/paper/phase0_5/evidence/timing_aligned_harness_preflight_v1/environment.json,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/artifact_sha256.txt,"122.122 FPS; 8.140 ms mean; P95 9.827; P99 11.529",formal Stage R core table,"Pageable staging plus CUDA preprocessing is correctness-accepted and faster on average in the tested path","No universal performance claim; timing boundary required",,15-run formal package
R,timing_aligned_v3r_formal,CANONICAL,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/formal_runs/,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,configs/stage_r/runtime_v6_v3r_timing_aligned.yaml,docs/paper/phase0_5/evidence/timing_aligned_harness_preflight_v1/environment.json,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/artifact_sha256.txt,"127.097 FPS; 7.812 ms mean; P95 9.842; P99 11.515",formal Stage R core table,"Pinned staging gives limited average benefit over V2R without clear tail improvement","Marginal optimization; P95/P99 are not improved conclusions",,15-run formal package
R,timing_aligned_compact_final_evidence,CANONICAL,docs/paper/phase0_5/PAPER_PHASE0_5D_G_EXECUTION_REPORT.md,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,configs/stage_r/runtime_v6_v0_timing_aligned.yaml,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/artifact_sha256.txt,"15/15 valid; 112 raw files; 12746622 bytes",canonical compact evidence package,"Manifest and formal report are the final compact Stage R evidence","Raw formal JSON is not copied into Git",,COMPACT_FINAL_EVIDENCE_CANONICAL
R,timing_aligned_raw_archive,SUPPLEMENTAL,docs/paper/phase0_5/PAPER_PHASE0_5D_G_EXECUTION_REPORT.md,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,configs/stage_r/runtime_v6_v0_timing_aligned.yaml,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/manifest.json,/home/orin/edge-ai-local-evidence/stage_r/phase0_5d_v0_v2r_v3r_timing_aligned_v1/archive_manifest.tsv,"112 files; 12746622 bytes; 112/112 SHA256 PASS",raw audit archive,"Retain raw formal evidence locally for audit and reproducibility","EXTERNAL_LOCAL_ONLY; HASH_VERIFIED; RETENTION_CONFIRMED; not Git-tracked",,External raw evidence archive
R,phase0_5_execution_reports,CANONICAL,docs/paper/phase0_5/PAPER_PHASE0_5D_G_EXECUTION_REPORT.md,docs/paper/phase0_5/,docs/paper/phase0_5/PAPER_PHASE0_5D_I2_FORMAL_EXECUTION_REPORT.md,,docs/paper/phase0_5/PAPER_CORE_VALIDITY_AUDIT_v1.0.md,docs/paper/phase0_5/evidence/timing_aligned_v0_v2r_v3r_v1/artifact_sha256.txt,"validity audit; split closure; Gate D; timing-aligned rerun",phase governance and provenance,"Phase 0.5 reports define remediation and evidence status","Historical reports remain unchanged; v1.1 files supersede Phase 0 authority only",,Phase 0.5 reports retained
R,old_attempt2_v0_v2_v3_v4,SUPERSEDED,docs/personal/STAGE_R_FINAL_REPORT.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,results/validation/stage_r/r5_pareto_closeout_v1/stage_r_pareto_summary.json,docs/personal/STAGE_R_EXECUTION_PLAN.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/aggregate_metrics.json,"historical four-branch performance and Gate D boundary",remediation motivation and audit trail,"Historical engineering process evidence only","SUPERSEDED_FOR_FINAL_PAPER_USE; excluded from final tables/figures/abstract/conclusions",,Replaced by timing-aligned V0/V2R/V3R
R,v4_formal_performance,EXCLUDED,docs/paper/phase0_5/PAPER_CORE_VALIDITY_AUDIT_v1.0.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,docs/personal/STAGE_R_R3_ABLATION_REPORT.md,docs/personal/STAGE_R_EXECUTION_PLAN.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/aggregate_metrics.json,"partial buffer rotation; serialized execution",none,"No formal V4 performance claim","PARTIAL_BUFFER_ROTATION_NOT_TRUE_OVERLAP",,Excluded formal performance
R,v4_pareto_and_double_buffer_claim,EXCLUDED,docs/paper/phase0_5/PAPER_CORE_VALIDITY_AUDIT_v1.0.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,docs/personal/STAGE_R_R5_PARETO_REPORT.md,docs/personal/STAGE_R_EXECUTION_PLAN.md,results/benchmark/stage_r/r3_v0_v2_v3_v4_ablation_v2/,results/validation/stage_r/r5_pareto_closeout_v1/stage_r_pareto_summary.json,"Pareto and true-overlap/double-buffer claim",none,"No V4 Pareto or overlap conclusion","Two fixed slots and serial rotation may be retained only as limitation history",,Excluded core contribution
