admission_id,citation_key,formal_retrieval_id,filename,title,authors,year,venue_or_publisher,doi_or_stable_id,source_type,reading_status,admission_status,literature_requirement_ids,allowed_statements,prohibited_statements,recommended_sections,notes
A01,song_yan_2013_neu_surface_defects,,j.apsusc.2013.09.002.pdf,"A noise robust method based on completed local binary patterns for hot-rolled steel strip surface defects","Kechen Song; Yunhui Yan",2013,"Applied Surface Science",10.1016/j.apsusc.2013.09.002,research_paper,FULL_TEXT_REVIEWED,ADMIT,L1;L2,"NEU surface defect database foundational source; six defect classes; 1800-image source background","Do not state that the 2013 paper itself proposed the later object-detection annotation format unless source evidence says so.",1.1;1.2,"Main-AI authorized A01; archive RAW016"
A02,ultralytics_2023_yolov8_docs,,SUPP_ultralytics_yolov8_official_docs.pdf,"Explore Ultralytics YOLOv8",Ultralytics,2023,Ultralytics,,official_documentation,FULL_TEXT_REVIEWED,ADMIT,L2,"YOLOv8 official model/software identity and official task/export information","Do not compare Ultralytics A100 benchmark numbers directly with this Jetson experiment.",1.1;1.2,"Main-AI authorized A02; archive RAW014"
A03,shao_et_al_2024_td_net,,shao_et_al_2024_td_net_tiny_industrial_defects.pdf,"TD-Net: tiny defect detection network for industrial products","Rui Shao; Mingle Zhou; Min Li; Delong Han; Gang Li",2024,"Complex & Intelligent Systems",10.1007/s40747-024-01362-x,research_paper,FULL_TEXT_REVIEWED,ADMIT,L1;L2;L7,"Industrial tiny-defect detection challenges; algorithm-side related work; NEU-DET usage","No edge deployment, CUDA, or pinned-memory claims.",1.1;1.2,"Main-AI authorized A03; archive RAW022"
A04,weiss_et_al_2024_realtime_component_inspection,,weiss_et_al_2024_realtime_electronic_component_inspection.pdf,"Real-Time Defect Detection in Electronic Components during Assembly through Deep Learning","Eyal Weiss; Shir Caplan; Kobi Horn; Moshe Sharabi",2024,Electronics,10.3390/electronics13081551,research_paper,FULL_TEXT_REVIEWED,ADMIT,L1;L4;L7,"Representative industrial real-time/edge inspection motivation","Do not compare its production system performance numerically against this research prototype.",1.1;1.2,"Main-AI authorized A04; archive RAW027"
A05,kim_lee_kim_2024_hyq,,kim_lee_kim_2024_hyq_post_training_quantization.pdf,"HyQ: Hardware-Friendly Post-Training Quantization for CNN-Transformer Hybrid Networks","Nam Joon Kim; Jongho Lee; Hyun Kim",2024,"Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence",10.24963/ijcai.2024/474,research_paper,FULL_TEXT_REVIEWED,ADMIT,L3;L7,"General PTQ background; low-precision inference motivation; distinction from QAT","Do not claim this project proposes HyQ or any new quantization algorithm. Do not state PTQ universally needs no data.",1.2,"Main-AI authorized A05; archive RAW018 and RAW017 metadata"
A06,tang_qian_2024_yolov8_jetson_orin,,tang_qian_2024_yolov8_jetson_orin_high_performance_deployment.pdf,"High-speed railway track components inspection framework based on YOLOv8 with high-performance model deployment","Youzhi Tang; Yu Qian",2024,"High-speed Railway",10.1016/j.hspr.2024.02.001,research_paper,FULL_TEXT_REVIEWED,ADMIT,L2;L4;L6;L7,"Preprocess/inference/postprocess pipeline framing; Jetson/TensorRT deployment related work; pipeline performance context","No direct FPS comparison with this project. Do not import its pipeline semantics into V3R.",1.2,"Main-AI authorized A06; archive RAW025"
A07,shin_kim_2022_jetson_yolo_frameworks,,shin_kim_2022_jetson_yolo_framework_performance_evaluation.pdf,"A Deep Learning Framework Performance Evaluation to Use YOLO in Nvidia Jetson Platform","Dong-Jin Shin; Jeong-Joon Kim",2022,"Applied Sciences",10.3390/app12083734,research_paper,FULL_TEXT_REVIEWED,ADMIT,L4;L6,"Jetson inference framework evaluation background; latency/performance evaluation context","No direct numerical comparison with this project.",1.2,"Main-AI authorized A07; archive RAW024"
A08,nvidia_cuda_programming_guide_12_6,D01,D01_cuda_cpp_programming_guide_12.6.pdf,"CUDA C++ Programming Guide","NVIDIA Corporation",2024,"NVIDIA Corporation",,official_documentation,PARTIAL_TEXT_REVIEWED,ADMIT,L5;L9,"CUDA memory/stream/synchronization API semantics","Cannot prove project-specific V3R behavior.",1.2,"Main-AI authorized A08; archive RAW001"
A09,nvidia_cuda_best_practices_12_6,D02,D02_cuda_cpp_best_practices_guide_12.6.pdf,"CUDA C++ Best Practices Guide","NVIDIA Corporation",2024,"NVIDIA Corporation",,official_documentation,PARTIAL_TEXT_REVIEWED,ADMIT,L5;L6;L9,"Pageable/pinned transfer semantics; host-device transfer guidance; CUDA timing guidance","Do not state pinned memory universally improves application performance.",1.2;1.3,"Main-AI authorized A09; archive RAW002"
A10,nvidia_tensorrt_10_3_release_notes,D03R,D03R_tensorrt_10.3_release_notes.pdf,"TensorRT 10.3 Release Notes","NVIDIA Corporation",,"NVIDIA Corporation",,official_documentation,FULL_TEXT_REVIEWED,ADMIT_WITH_LIMITATION,L3;L9,"TensorRT 10.3 version facts; legacy calibrator / implicit quantization deprecation context","The project's historical calibrator-based INT8 route must not be described as TensorRT's current recommended quantization approach.",1.2,"Main-AI authorized A10; archive RAW003; limitation retained"
