metric_id,experiment_id,metric_name,value,unit,direction,metric_definition,timing_boundary,sample_set,sample_count,warmup,measured_frames,run_count,aggregation,source_level,source_file,source_field_or_row,source_commit,source_archive,source_SHA256,recalculation_formula,recalculated_value,recalculation_difference,reproducible_from_present_evidence,evidence_status,comparable_to,supports_claim_id,limitations,notes
M_TRAIN_VAL_MAP5095,TRAINING_FREEZE,val_mAP50_95,0.45085,score,higher_is_better,seed-7 deterministic validation mAP50-95,NA,NEU-DET historical val,360,NA,NA,NA,direct recorded,Level 1,results/training/evidence/validation_metrics_by_experiment.json,seed=7 deterministic overall.mAP50_95,2fddb7f35fd8fcf2a5066fddb2bec0df47b7133e,training evidence patch,33e70a5a9e8d5edbea91bc939f2136eb58b509935be5910e0541282660ee6f0c,none,0.45085,0,yes,VERIFIED,training records only,C8,historical split-v1; checkpoint archive unavailable,No significance claim
M_TRAIN_TEST_MAP50,TRAINING_FREEZE,test_mAP50,0.769,score,higher_is_better,frozen model test mAP50,NA,NEU-DET test,180,NA,NA,NA,direct recorded,Level 1,results/training/evidence/frozen_test_metrics.json,overall.mAP50,2fddb7f35fd8fcf2a5066fddb2bec0df47b7133e,training evidence patch,80a320917adf998f8335c35c3df3709b66e8a657afc8ec346c36d68b1629dd2e,NA,0.769,0,yes,VERIFIED,training test records only,C8,test used after selection; no tuning,NA
M_TRAIN_TEST_MAP5095,TRAINING_FREEZE,test_mAP50_95,0.431,score,higher_is_better,frozen model test mAP50-95,NA,NEU-DET test,180,NA,NA,NA,direct recorded,Level 1,results/training/evidence/frozen_test_metrics.json,overall.mAP50_95,2fddb7f35fd8fcf2a5066fddb2bec0df47b7133e,training evidence patch,80a320917adf998f8335c35c3df3709b66e8a657afc8ec346c36d68b1629dd2e,NA,0.431,0,yes,VERIFIED,training test records only,C8,summary reorganized from existing evaluation,NA
M_TRAIN_ARCHIVE_INDEPENDENT_HASH,TRAINING_FREEZE,independent_checkpoint_archive_available,MISSING,boolean,not_applicable,checkpoint archive not accessible on current host,NA,training archive,NA,NA,NA,NA,not available,Level 2,docs/TRAINING_ARCHIVE_INDEX.md,archive SHA recorded but binary absent,2fddb7f35fd8fcf2a5066fddb2bec0df47b7133e,external training checkpoint archive,a50525dc3e68a569e81d6319b9bf9d9cc43f9db26c5df3d87e09f48b8a765847,none,MISSING,NA,no,MISSING,NA,C8,PT itself is externally verified; independent archive audit unavailable,Do not downgrade VERIFIED_EXTERNAL_ASSET frozen PT
M_ONNX_RAW_MAE,PT_ONNX_CONSISTENCY,raw_output_MAE,2.5397553604403036e-05,score,lower_is_better,PyTorch/ONNX paired consistency summary,per-sample model output comparison,10 selected validation images,10,NA,NA,NA,reported summary,Level 1,results/onnx_export/pt_onnx_compare.json,summary.raw_output_mae,ab0c74edecb520c3831c64eab13c9e9d1e046ed9,repository export evidence,89dbca557a30bf83d9a0aa04fe1647575a7c60c3a0a5f106621b6de6acdfbbbb,summary field,2.5397553604403036e-05,0,yes,VERIFIED,semantic consistency only,C8,not bitwise equivalence,Counts and classes also pass
M_ONNX_RAW_MAX_ERROR,PT_ONNX_CONSISTENCY,raw_output_max_absolute_error,0.0087890625,score,lower_is_better,PyTorch/ONNX paired consistency summary,per-sample model output comparison,10 selected validation images,10,NA,NA,NA,reported summary,Level 1,results/onnx_export/pt_onnx_compare.json,summary.raw_output_max_absolute_error,ab0c74edecb520c3831c64eab13c9e9d1e046ed9,repository export evidence,89dbca557a30bf83d9a0aa04fe1647575a7c60c3a0a5f106621b6de6acdfbbbb,summary field,0.0087890625,0,yes,VERIFIED,semantic consistency only,C8,not bitwise equivalence,Counts and classes also pass
M_ONNX_BBOX_MAX_ERROR,PT_ONNX_CONSISTENCY,bbox_max_absolute_error,0.0001220703125,pixels,lower_is_better,PyTorch/ONNX paired consistency summary,per-sample model output comparison,10 selected validation images,10,NA,NA,NA,reported summary,Level 1,results/onnx_export/pt_onnx_compare.json,summary.detection_max_bbox_absolute_error,ab0c74edecb520c3831c64eab13c9e9d1e046ed9,repository export evidence,89dbca557a30bf83d9a0aa04fe1647575a7c60c3a0a5f106621b6de6acdfbbbb,summary field,0.0001220703125,0,yes,VERIFIED,semantic consistency only,C8,not bitwise equivalence,Counts and classes also pass
M_ONNX_CONF_MAX_ERROR,PT_ONNX_CONSISTENCY,confidence_max_absolute_error,2.503395080566406e-06,score,lower_is_better,PyTorch/ONNX paired consistency summary,per-sample model output comparison,10 selected validation images,10,NA,NA,NA,reported summary,Level 1,results/onnx_export/pt_onnx_compare.json,summary.detection_max_confidence_absolute_error,ab0c74edecb520c3831c64eab13c9e9d1e046ed9,repository export evidence,89dbca557a30bf83d9a0aa04fe1647575a7c60c3a0a5f106621b6de6acdfbbbb,summary field,2.503395080566406e-06,0,yes,VERIFIED,semantic consistency only,C8,not bitwise equivalence,Counts and classes also pass
M_J_K1_FPS,J_ORT_CPU_BASELINE,k1_whole_process_fps,2.3086948023,FPS,higher_is_better,560-frame whole-process wall throughput,whole_process_wall_time,validation corpus cycle,560,60,500,5,reported mean,Level 1,results/benchmark/jetson_ort_cpu/profile_baseline/j5_5_profile_baseline_v1/benchmark_report.json,throughput_fps.mean,b3826e011fd201a481c00011ce054f76bf7af649,Stage J local evidence,6d58f1d077278df3fa8abfd611495ac653186c25b6556d348626d21b2188e2e3,NA,2.3086948023,0,yes,VERIFIED,J baseline only,C7,no per-frame timing distribution,NA
M_J_K5_PRE_SINK_FPS,J_ORT_CPU_BASELINE,k5_pre_sink_fps,9.8308057717,FPS,higher_is_better,mean of five k5 pre-sink FPS values,pre-sink measured window,validation corpus cycle,2500,60,500,5,arithmetic mean,Level 1,results/benchmark/jetson_ort_cpu/tuned/j5_6_tuned_formal_baseline_v3/aggregate.json,mean(runs[*].pre_sink_fps),480876aff91edecd800758407f6618d78295cbcc,Stage J local evidence,743920fc121b980036fe05d2198ba3dd9769c2af7691ae50ac57416fa33728c8,"mean(9.8262686221,9.8236916025,9.8492332148,9.7894725950,9.8653628239)",9.8308057717,0,yes,DERIVED_VERIFIED,J baseline only,C7,not comparable with K/Q/R timing,NA
M_J_K5_PROCESS_WALL_FPS,J_ORT_CPU_BASELINE,k5_process_wall_fps,9.7483205588,FPS,higher_is_better,mean of five k5 process-wall FPS values,process wall measured window,validation corpus cycle,2500,60,500,5,arithmetic mean,Level 1,results/benchmark/jetson_ort_cpu/tuned/j5_6_tuned_formal_baseline_v3/aggregate.json,mean(runs[*].process_wall_fps),480876aff91edecd800758407f6618d78295cbcc,Stage J local evidence,743920fc121b980036fe05d2198ba3dd9769c2af7691ae50ac57416fa33728c8,"mean(9.7174470230,9.7161757282,9.7968267088,9.7122545458,9.7988987881)",9.7483205588,0,yes,DERIVED_VERIFIED,J baseline only,C7,must not mix with pre-sink FPS,NA
M_J6_DURATION,J_ORT_CPU_BASELINE,J6_duration,1800.0649718600034,seconds,higher_is_not_goal,J6 continuous tuned k5 stability record,J6 process wall window,validation corpus cycles,14860,NA,14860,1,direct recorded,Level 1,results/benchmark/jetson_ort_cpu/stability/j6_tuned_stability_v1/stability_report.json,measured_duration_seconds,7ff24d008f2450954b3fdc190688f1a3b9840788,Stage J local evidence,cf7762ca4164cdcae9002884c02ac38eabe0a4062f133cdc0320c805f4e9ef57,NA,1800.0649718600034,0,yes,VERIFIED,J stability only,C7,not industrial certification,NA
M_J6_FAILURES,J_ORT_CPU_BASELINE,J6_failure_count,0,count,lower_is_better,J6 continuous tuned k5 stability record,J6 process wall window,validation corpus cycles,14860,NA,14860,1,direct recorded,Level 1,results/benchmark/jetson_ort_cpu/stability/j6_tuned_stability_v1/stability_report.json,failure_count,7ff24d008f2450954b3fdc190688f1a3b9840788,Stage J local evidence,cf7762ca4164cdcae9002884c02ac38eabe0a4062f133cdc0320c805f4e9ef57,NA,0,0,yes,VERIFIED,J stability only,C7,not industrial certification,NA
M_K_TASK_FP32_MAP5095,K_TRT_FP32_BASELINE,task_mAP50_95_FP32,0.359086,score,higher_is_better,project-local task evaluator metric,task-level 180-image evaluation,Stage K test,180,NA,180,1,direct recorded,Level 1,results/validation/stage_k_task_eval_v2/metrics/README.txt,strict FP32 mAP50-95,99320d69eb10112348d792283b008eadd5517e21,Stage K tracked evidence,925903d2f62a638fd0659d5e746ed06056f50bf3cc3bc241791243fd26780f2f,NA,0.359086,0,yes,VERIFIED,K_TRT_FP32_BASELINE/K_TRT_FP16,C6,project-local evaluator; raw Level B remains limitation,NA
M_K_TASK_FP16_MAP5095,K_TRT_FP16,task_mAP50_95_FP16,0.359550,score,higher_is_better,project-local task evaluator metric,task-level 180-image evaluation,Stage K test,180,NA,180,1,direct recorded,Level 1,results/validation/stage_k_task_eval_v2/metrics/README.txt,Original FP16 mAP50-95,99320d69eb10112348d792283b008eadd5517e21,Stage K tracked evidence,925903d2f62a638fd0659d5e746ed06056f50bf3cc3bc241791243fd26780f2f,NA,0.359550,0,yes,VERIFIED,K_TRT_FP32_BASELINE/K_TRT_FP16,C6,project-local evaluator; raw Level B remains limitation,NA
M_K_TASK_FP16_MINUS_FP32_MAP5095,K_TRT_FP16,mAP50_95_delta_FP16_minus_FP32,0.000464,score,higher_is_better,Original FP16 minus strict FP32 task mAP50-95,task-level evaluation,Stage K test,180,NA,180,1,subtraction,Level 3,results/validation/stage_k_task_eval_v2/metrics/README.txt,Original FP16 minus FP32 mAP50-95,99320d69eb10112348d792283b008eadd5517e21,Stage K tracked evidence,925903d2f62a638fd0659d5e746ed06056f50bf3cc3bc241791243fd26780f2f,0.359550-0.359086,0.000464,0,yes,DERIVED_VERIFIED,K_TRT_FP32_BASELINE,C6,task-level only,NA
M_K7_INFERENCE_FP32,K_TRT_FP32_BASELINE,inference_mean_latency_FP32,12.9142133043,ms,lower_is_better,K7 same-stage performance statistic,K7 inference or E2E boundary,Stage K test repeated,15000,300,5000,3,pooled samples,Level 1,results/validation/stage_k7/performance_v1/comparison_report.json,statistics.fp32_notf32.inference.mean_ms,NOT_RECORDED_IN_K7_ARTIFACT,Stage K tracked evidence,9cec4282cee1cfa3100c5c5857765ce122feef289405354c14a88d8c0204ed5e,direct,12.9142133043,0,yes,VERIFIED,K_TRT_FP32_BASELINE,C6,inference and E2E are not interchangeable,NA
M_K7_INFERENCE_FP16,K_TRT_FP16,inference_mean_latency_FP16,11.1649436107,ms,lower_is_better,K7 same-stage performance statistic,K7 inference or E2E boundary,Stage K test repeated,15000,300,5000,3,pooled samples,Level 1,results/validation/stage_k7/performance_v1/comparison_report.json,statistics.fp16_original.inference.mean_ms,NOT_RECORDED_IN_K7_ARTIFACT,Stage K tracked evidence,9cec4282cee1cfa3100c5c5857765ce122feef289405354c14a88d8c0204ed5e,direct,11.1649436107,0,yes,VERIFIED,K_TRT_FP32_BASELINE,C6,inference and E2E are not interchangeable,NA
M_K7_INFERENCE_SPEEDUP,K_TRT_FP16,inference_speedup_FP32_over_FP16,1.1566751929,x,higher_is_better,K7 same-stage performance statistic,K7 inference or E2E boundary,Stage K test repeated,15000,300,5000,3,baseline/optimized,Level 3,results/validation/stage_k7/performance_v1/comparison_report.json,speedup.inference,NOT_RECORDED_IN_K7_ARTIFACT,Stage K tracked evidence,9cec4282cee1cfa3100c5c5857765ce122feef289405354c14a88d8c0204ed5e,12.9142133043/11.1649436107,1.1566751929,0,yes,DERIVED_VERIFIED,K_TRT_FP32_BASELINE,C6,inference and E2E are not interchangeable,NA
M_K7_E2E_SPEEDUP,K_TRT_FP16,e2e_speedup_FP32_over_FP16,1.1024383536,x,higher_is_better,K7 same-stage performance statistic,K7 inference or E2E boundary,Stage K test repeated,15000,300,5000,3,baseline/optimized,Level 3,results/validation/stage_k7/performance_v1/comparison_report.json,speedup.e2e,NOT_RECORDED_IN_K7_ARTIFACT,Stage K tracked evidence,9cec4282cee1cfa3100c5c5857765ce122feef289405354c14a88d8c0204ed5e,18.8133329959/17.0652018183,1.1024383536,0,yes,DERIVED_VERIFIED,K_TRT_FP32_BASELINE,C6,inference and E2E are not interchangeable,NA
M_K6_DURATION,K_TRT_FP16,K6_stability_duration,1802.818970375,seconds,higher_is_not_goal,K6 serial stability duration,K6 lifecycle window,Stage K test repeated,84420,NA,84420,1,direct recorded,Level 1,results/validation/stage_k6/stability_v1/stability_report.json,runtime_duration_seconds,NOT_RECORDED_IN_K6_ARTIFACT,Stage K tracked evidence,f6b79c08b8a18395f997bee06dc2a5c2c76b410f88e12825dc67ef07d2f8d38b,NA,1802.818970375,0,yes,VERIFIED,K stability only,C6,bounded engineering observation; raw Level B FAIL remains,NA
M_Q_INT8_PRECISION,Q_TRT_INT8_ACCURACY,INT8_precision,0.6912751678,score,higher_is_better,Stage Q task evaluator INT8 accuracy,task-level evaluation,split-v2 test,180,NA,180,1,direct recorded,Level 1,results/validation/stage_q/q5_accuracy_v1/metrics_summary.json,metrics.int8.Precision,NA,Stage Q tracked evidence,0a969ef1417d201a063dc33df1e64453ffd3c1030418f99192aa76336b402f63,NA,0.6912751678,0,yes,VERIFIED,Q_TRT_INT8_SERIAL; Q_TRT_INT8_PIPELINE,C4,evaluator-specific; thermal unavailable,NA
M_Q_INT8_RECALL,Q_TRT_INT8_ACCURACY,INT8_recall,0.6990950226,score,higher_is_better,Stage Q task evaluator INT8 accuracy,task-level evaluation,split-v2 test,180,NA,180,1,direct recorded,Level 1,results/validation/stage_q/q5_accuracy_v1/metrics_summary.json,metrics.int8.Recall,NA,Stage Q tracked evidence,0a969ef1417d201a063dc33df1e64453ffd3c1030418f99192aa76336b402f63,NA,0.6990950226,0,yes,VERIFIED,Q_TRT_INT8_SERIAL; Q_TRT_INT8_PIPELINE,C4,evaluator-specific; thermal unavailable,NA
M_Q_INT8_MAP50,Q_TRT_INT8_ACCURACY,INT8_mAP50,0.6476254638,score,higher_is_better,Stage Q task evaluator INT8 accuracy,task-level evaluation,split-v2 test,180,NA,180,1,direct recorded,Level 1,results/validation/stage_q/q5_accuracy_v1/metrics_summary.json,metrics.int8.mAP50,NA,Stage Q tracked evidence,0a969ef1417d201a063dc33df1e64453ffd3c1030418f99192aa76336b402f63,NA,0.6476254638,0,yes,VERIFIED,Q_TRT_INT8_SERIAL; Q_TRT_INT8_PIPELINE,C4,evaluator-specific; thermal unavailable,NA
M_Q_INT8_MAP5095,Q_TRT_INT8_ACCURACY,INT8_mAP50_95,0.3523443910,score,higher_is_better,Stage Q task evaluator INT8 accuracy,task-level evaluation,split-v2 test,180,NA,180,1,direct recorded,Level 1,results/validation/stage_q/q5_accuracy_v1/metrics_summary.json,metrics.int8.mAP50-95,NA,Stage Q tracked evidence,0a969ef1417d201a063dc33df1e64453ffd3c1030418f99192aa76336b402f63,NA,0.3523443910,0,yes,VERIFIED,Q_TRT_INT8_SERIAL; Q_TRT_INT8_PIPELINE,C4,evaluator-specific; thermal unavailable,NA
