rule_id,step2_status,step3_evidence_type,step3_source_id,step3_locator,observed_value,observed_unit,formatting_mechanism,conversion_fidelity,resolution,resolution_status,implementation_recommendation,step4_template_action,poc_requirement,windows_manual_check,notes
HFUT-WEB-002,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_OOXML,HFUT_FMT_DOC,"document.xml P001; rendered page 1",题名示例括注不超过20字,Chinese characters,DIRECT_FORMATTING,CONSISTENT,项目执行采用中文题名不超过20个汉字,CONFIRMED_BY_TEXT_AND_STYLE,保留网页一般措辞与附件较强措辞的来源差异,将中文题名内容检查上限设为20,验证20字边界与标点计数,YES,CG-TITLE-LENGTH按Paper Project AI决定处置
HFUT-FMT-001,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_OOXML,HFUT_FMT_DOC,"document.xml P001; rendered page 1",标题不超过20字,Chinese characters,DIRECT_FORMATTING,CONSISTENT,项目执行采用中文题名不超过20个汉字,CONFIRMED_BY_TEXT_AND_STYLE,不改写Step 2来源措辞,复用20字内容检查规则,验证20字边界与标点计数,YES,与HFUT-WEB-002共同记录冲突组处置
HFUT-WEB-025,TEXTUALLY_EXPLICIT_REQUIREMENT,OOXML_FOOTER,HFUT_FMT_DOC,word/footer2.xml,"作者简介示例含出生年份、性别、籍贯、学位/身份、职称、通信作者与邮箱",text fields,DIRECT_FORMATTING,CONSISTENT,首页页脚作者简介字段得到附件页脚证据支持,CONFIRMED_BY_TEXT_AND_STYLE,字段内容由作者提供且最终投稿前复核,设计首页专用页脚/作者简介块,检查首页定位与匿名稿移除,YES,footer2同时含收稿/修回日期和基金示例
HFUT-WEB-032,STYLE_EMBEDDED_PENDING_STEP3,OOXML_SECTION,HFUT_FMT_DOC,"document.xml sectPr[1-2]",A4 21.001×29.700; top 2.401; bottom 2.000; left/right 2.300; one-column then two-column; column gap 0.748,cm,MIXED_FORMATTING,CONSISTENT,页面与分栏参数已取得样式证据但正文段距仍主要直接格式,CONFIRMED_BY_STYLE_EVIDENCE,以四份附件共同参数为候选并经POC验证,创建A4页面与单双栏section候选,验证分节、栏宽、换栏和首页页脚,YES,section切换也承担示例布局功能，不能原样复制全部分节
HFUT-WEB-033,PENDING_VERIFICATION,OOXML_FOOTER,HFUT_FMT_DOC,word/footer2.xml,"收稿日期与修回日期占位存在；文章编号未检出；作者是否填写未说明",text fields,DIRECT_FORMATTING,CONSISTENT,附件证明字段存在但不能证明由作者提供,NOT_RESOLVED_IN_STEP3,提交前向期刊确认责任边界,暂不设置文章编号自动字段,核对编辑部字段工作流,YES,不得由样例占位推断作者责任
HFUT-FMT-003,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_OOXML,HFUT_FMT_DOC,document.xml P004,"标签9 pt黑体加粗；正文继承/直接混合；精确14 pt行距",pt,MIXED_FORMATTING,CONSISTENT,中文摘要标签和行距得到文本与OOXML支持,CONFIRMED_BY_TEXT_AND_STYLE,建立独立摘要标签与正文样式避免逐段直设,创建中文摘要9 pt与精确14 pt行距候选,验证标签加粗、换行与左右缩进,YES,P004另有左右缩进且主要依赖直接格式
HFUT-FMT-005,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_OOXML,HFUT_FMT_DOC,document.xml P005,"标签9 pt黑体；内容标注小五宋体",pt,MIXED_FORMATTING,CONSISTENT,关键词字号字体规则得到支持但源段落为混合格式,CONFIRMED_BY_TEXT_AND_STYLE,建立关键词标签/正文字符样式,创建中文关键词9 pt候选,验证长关键词换行与分隔符,YES,不可直接复制Normal加直设结构
HFUT-FMT-007,PENDING_VERIFICATION,OOXML_PARAGRAPH,HFUT_FMT_DOC,document.xml P006,"文献标识码：A作为样例普通文本",text,DIRECT_FORMATTING,CONSISTENT,未发现字段或自动生成机制,NOT_RESOLVED_IN_STEP3,向期刊确认作者是否填写,模板中仅保留可选占位且默认不自动赋A,检查投稿要求,YES,样例出现不等于通用作者义务
HFUT-FMT-010,TEXTUALLY_EXPLICIT_REQUIREMENT,OOXML_PARAGRAPH,HFUT_FMT_DOC,document.xml P010,"Normal继承10.5 pt且部分run直接9 pt；中英文与黑体标注混排",pt,MIXED_FORMATTING,CONVERSION_AMBIGUOUS,转换样式不能稳定确认整段英文摘要均为五号Times New Roman,CONVERSION_AMBIGUOUS,Step 4继续以Step 2文字规则为权威并做POC,创建英文摘要10.5 pt Times New Roman候选,检查Word中继承与直接run后的实际字号,YES,不得用转换后的9 pt覆盖Step 2文本规则
HFUT-FMT-012,TEXTUALLY_EXPLICIT_REQUIREMENT,TEXT_PLUS_OOXML,HFUT_FMT_DOC,"styles.xml Normal; document.xml P013-P014",Normal为中文宋体/英文Times New Roman 10.5 pt并两端对齐,pt,MIXED_FORMATTING,CONSISTENT,正文基本字体字号得到样式和文本支持,CONFIRMED_BY_TEXT_AND_STYLE,将正文属性集中到命名样式,创建正文宋体/TNR 10.5 pt两端对齐候选,验证中英文混排与缺字回退,YES,首行缩进和行距在样例中多为直接格式
