ID,format element,original source,source page/paragraph/table,explicit textual requirement,actual visual/source formatting,published-paper observation,Phase2.5 extracted rule,reference.docx state,production-code state,current Full DOCX state,user screenshot finding,finding confirmed?,authority level,submission vs publication distinction,root-cause stage,required remediation?,remediation layer,manual/automated,risk,notes
F07-01,Chinese abstract width,HFUT format DOC,P004/page 1,"small-five Songti; exact 14 pt","direct left 420 twips/21 pt; right 295 twips/14.75 pt; justified",not determinative,recorded in paragraph observations,"HFUTAbstractBodyCN has no indents",filter assigns CN abstract style,has no direct/style indents,UF-01,CONFIRMED,official attachment direct formatting,author submission,RULE_LOST_IN_REFERENCE_DOCX,YES,template plus validator,automated,MAJOR_FORMAT,English P010 lacks matching direct indents
F07-02,English abstract width,HFUT format DOC,P010/page 1,"five-point TNR; meaning consistent with Chinese","no comparable direct left/right indent observed in conversion",not determinative,English run size conversion-ambiguous,no indents,filter assigns EN abstract style,no indents,UF-01,CONFIRMED,official attachment mixed evidence,author submission,RULE_LOST_IN_REFERENCE_DOCX,YES,template plus validator,automated,MAJOR_FORMAT,Word Desktop confirmation for final visual width
F07-03,CN affiliation parentheses,HFUT format DOC,P003/page 1,secondary unit/province/city/postcode,"literal outer parentheses; numbered units separated by semicolon",not determinative,visible source content,plain affiliation style/content,filter emits metadata verbatim,bare affiliation text,UF-02,CONFIRMED,official attachment visual/content,author submission,CURRENT_TEMPLATE_INTENTIONAL_SIMPLIFICATION,YES,metadata template filter validator,automated,MAJOR_FORMAT,red parenthetical after sample is instructional only
F07-04,EN affiliation parentheses,HFUT format DOC,P009/page 1,English author affiliation required,"literal outer parentheses in specimen",not determinative,visible source content,plain affiliation style/content,filter emits metadata verbatim,bare English affiliation,UF-02,CONFIRMED,official attachment visual/content,author submission,CURRENT_TEMPLATE_INTENTIONAL_SIMPLIFICATION,YES,metadata template filter validator,automated,MAJOR_FORMAT,markers/grouping need final contract
F07-05,inline corresponding author,HFUT format DOC,P003-P004/P009-P010,no inline instruction,"absent between affiliation and abstract",not used to override source,not a Phase2.5 mandatory field,HFUTBody available,filter inserts lines 65 and 69,lines shown in current DOCX,UF-03,CONFIRMED,official attachment visual,author submission,PROJECT_RULE_OVERRULED_OFFICIAL_FORMAT,YES,Lua filter and validator,automated,MAJOR_FORMAT,move correspondence to footer biography schema if applicable
F07-06,received/revised dates,HFUT format DOC,footer2,example placeholders only,"20XX placeholders in footer",published pages secondary,Phase2.5 left responsibility unresolved,no modeled fields,no field output,absent,UF-04,PARTIALLY_CONFIRMED,template placeholder,editorial workflow,EDITORIAL_VS_SUBMISSION_CONFUSION,NO,none,manual,EDITORIAL_ONLY,never fabricate dates
F07-07,funding,web excerpt + format DOC,web 1.8/footer2,"include type and project number","footer sample line",published pages secondary,footer source recorded,HFUTFunding exists but no full contract,no funded field emitted,absent,UF-04,PARTIALLY_CONFIRMED,web explicit + specimen,author submission, CURRENT_TEMPLATE_INTENTIONAL_SIMPLIFICATION,YES,metadata footer postprocessor validator,automated,MAJOR_FORMAT,only if applicable
F07-08,author biographies and correspondence email,web excerpt + format DOC,web 1.8/footer2,"biography includes name birth year gender native place degree title","two biographies; corresponding author and E-mail in second bio",published pages secondary,footer schema observed,HFUTAuthorBiography supports one text,postprocessor moves one text to first footer,only Wang Kailun bio,UF-04,CONFIRMED,web explicit + specimen,author submission,RULE_LOST_IN_OOXML_POSTPROCESSOR,YES,metadata filter postprocessor validator,mixed,BLOCKING_FOR_SUBMISSION,all-author extent beyond specimen unresolved
F07-09,table vertical dotted lines,HFUT table DOC,P005/tables 1-5,"three-line; top/bottom 1 pt; middle 0.5 pt","ordinary cells only horizontal borders; no insideV",not reliable text extraction,Phase2.5 recorded no ordinary internal verticals,three-line style,nil insideV enforced,nil insideV shown,UF-05,REJECTED,official text + structure,author submission,NONPRINTING_WORD_UI,NO,none,none,NONPRINTING_UI,Word UI gridlines are not printed borders
F07-10,ordinary table rule weights,HFUT table DOC,P005/tables 1-5,"top/bottom 1 pt; middle 0.5 pt","cell top/bottom borders match",secondary only,recorded correctly,HFUTThreeLineTable present,postprocessor applies exact border contract,current tables match,n/a,CONFIRMED,official text + structure,author submission,RULE_EXTRACTED_CORRECTLY,NO,none,none,OBSERVATION,special turned-table examples are exceptions
