stage,experiment_id,asset_status,authority_document,raw_data_path,summary_path,config_path,environment_path,manifest_or_hash_path,primary_metrics,possible_paper_use,allowed_claim,restriction,replacement_asset,notes
Training,formal_training_9_runs,CANONICAL,docs/TRAINING_FINAL_REPORT.md,results/training/evidence/validation_metrics_by_experiment.json,results/training/training_experiment_summary.json,configs/train/,results/training/evidence/EXPERIMENT_PROVENANCE.json,configs/train/training_evidence_manifest.json,"validation P/R/mAP50/mAP50-95; seed variation",training comparison table,"Recorded validation comparison and observed three-seed variation","No statistical-significance or general seed-bound claim",,Tracked lightweight evidence
Training,frozen_seed7_model_binary,CANONICAL,docs/MODEL_FREEZE_RECORD.md,/home/ros2/wangkl/edge-ai-defect/edge-ai-defect/models/pytorch/yolov8n_neudet_frozen.pt,results/training/evidence/frozen_test_metrics.json,configs/train/yolov8n_neudet_baseline_seed7.yaml,results/training/evidence/frozen_test_environment.txt,docs/TRAINING_ARCHIVE_INDEX.md,"6259683 bytes; SHA256 5e36ae9ec419a71d6cf726624450dc528f85fed39e398c07085eaf82dba8bbb7",model selection and accuracy table,"Frozen seed-7 binary identity and recorded val/test metrics","EXTERNAL_LOCAL_ONLY; test used only after selection",,HASH_VERIFIED; RETENTION_CONFIRMED
Training,training_archives,SUPPLEMENTAL,docs/TRAINING_ARCHIVE_INDEX.md,/mnt/f/毕设项目/yolov8n训练结果/,docs/TRAINING_ARCHIVE_INDEX.md,configs/train/,results/training/evidence/EXPERIMENT_PROVENANCE.json,docs/TRAINING_ARCHIVE_INDEX.md,"training_checkpoints_patch SHA256 a50525dc3e68a569e81d6319b9bf9d9cc43f9db26c5df3d87e09f48b8a765847; training_evidence_patch SHA256 7c44f5ad992a6b539027d29e249e9f87717661b6750552b33f0a2a8015ac8341; training_stage SHA256 a8b62be94e08f1d3e41c6e589f2171b001490cf772b0ab13ca60fa4d41660756",offline audit and provenance,"Verified archives retain nine best.pt files and formal training evidence","EXTERNAL_LOCAL_ONLY; not Git assets",,HASH_VERIFIED; RETENTION_CONFIRMED; gzip/tar/internal-manifest/path-safety PASS
Training,seed7_training_visual_outputs,SUPPLEMENTAL,docs/TRAINING_FINAL_REPORT.md,/mnt/f/毕设项目/yolov8n训练结果/,docs/TRAINING_ARCHIVE_INDEX.md,configs/train/yolov8n_neudet_baseline_seed7.yaml,results/training/evidence/EXPERIMENT_PROVENANCE.json,docs/TRAINING_ARCHIVE_INDEX.md,"results.png; confusion matrices; BoxPR/BoxF1/BoxP/BoxR curves; validation preview",paper training figures,"Verified original seed-7 training visuals may support figure production","EXTERNAL_LOCAL_ONLY; final unified paper rendering not generated",,HASH_VERIFIED; RETENTION_CONFIRMED
Training,frozen_test_visual_and_prediction_outputs,CANONICAL,docs/TRAINING_FINAL_REPORT.md,/mnt/f/毕设项目/yolov8n训练结果/,results/training/evidence/frozen_test_metrics.json,configs/train/yolov8n_neudet_baseline_seed7.yaml,results/training/evidence/frozen_test_environment.txt,docs/TRAINING_ARCHIVE_INDEX.md,"confusion matrices; BoxPR/BoxF1/BoxP/BoxR curves; prediction previews; predictions.json",frozen-test figures and audit,"Verified frozen-test visual and prediction outputs are retained","EXTERNAL_LOCAL_ONLY; original directory name not retained verbatim; provenance/logical paths/hash chain accepted",,HASH_VERIFIED; RETENTION_CONFIRMED
ONNX,frozen_onnx_contract,CANONICAL,results/onnx_export/export_metadata.json,results/onnx_export/pt_onnx_compare.json,results/onnx_export/onnxruntime_smoke_test.json,configs/export/yolov8n_neudet_frozen.yaml,results/onnx_export/environment_provenance.txt,configs/model_contracts/yolov8n_neudet_frozen.yaml,"SHA256; I/O contract; ten-image consistency",model export/contract table,"Fixed export identity and measured consistency PASS","Ten-image comparison is not universal equivalence",,Tracked metadata and contract
ONNX,frozen_onnx_binary,SUPPLEMENTAL,results/onnx_export/export_metadata.json,models/onnx/yolov8n_neudet_frozen.onnx,results/onnx_export/export_metadata.json,configs/export/yolov8n_neudet_frozen.yaml,results/onnx_export/environment_provenance.txt,configs/model_contracts/yolov8n_neudet_frozen.yaml,"SHA256 c88ac014...; 12242487 bytes",binary reinspection,"Observed local binary matches frozen SHA","LOCAL_ONLY; ignored and untracked; absent from clean checkout",,Local repository working-tree artifact
J,j5_2_semantic_precheck_v2,CANONICAL,docs/personal/STAGE_J_FINAL_REPORT.md,results/benchmark/jetson_ort_cpu/profile_precheck/j5_2_candidate_semantic_precheck_v2/,results/benchmark/jetson_ort_cpu/profile_precheck/j5_2_candidate_semantic_precheck_v2/semantic_comparison_report.json,results/benchmark/jetson_ort_cpu/profile_precheck/j5_2_candidate_semantic_precheck_v2/candidate_protocol.json,results/benchmark/jetson_ort_cpu/profile_precheck/j5_2_candidate_semantic_precheck_v2/environment.json,results/benchmark/jetson_ort_cpu/profile_precheck/j5_2_candidate_semantic_precheck_v2/sha256sums.txt,"all candidate semantic checks PASS",correctness evidence,"Frozen semantic boundary passed for evaluated candidates","Inherited cross-architecture numerical limitation",,v2 supersedes v1
J,j5_5_controlled_k1,CANONICAL,docs/personal/STAGE_J_FINAL_REPORT.md,results/benchmark/jetson_ort_cpu/profile_baseline/j5_5_profile_baseline_v1/,results/benchmark/jetson_ort_cpu/profile_baseline/j5_5_profile_baseline_v1/benchmark_report.json,results/benchmark/jetson_ort_cpu/profile_baseline/j5_5_profile_baseline_v1/k1/protocol.json,results/benchmark/jetson_ort_cpu/profile_baseline/j5_5_profile_baseline_v1/environment.json,results/benchmark/jetson_ort_cpu/profile_baseline/j5_5_profile_baseline_v1/sha256sums.txt,"whole-process wall statistics; mean 2.3087 FPS",controlled resource reference,"Controlled k1 reproducibility/resource reference","No per-frame latency distribution or sample SD; secondary baseline",,PASS_WITH_DOCUMENTED_LIMITATION
J,j5_6_tuned_k5_v3,CANONICAL,docs/personal/STAGE_J_FINAL_REPORT.md,results/benchmark/jetson_ort_cpu/tuned/j5_6_tuned_formal_baseline_v3/runs/,results/benchmark/jetson_ort_cpu/tuned/j5_6_tuned_formal_baseline_v3/aggregate.json,docs/personal/STAGE_J_EXECUTION_PLAN.md,results/benchmark/jetson_ort_cpu/tuned/j5_6_tuned_formal_baseline_v3/provenance.json,results/benchmark/jetson_ort_cpu/tuned/j5_6_tuned_formal_baseline_v3/sha256sums.txt,"inference 97.1169 ms; pre-sink 101.7218 ms; 9.8308 pre-sink FPS",primary ORT CPU baseline,"Formal tuned k5 performance under Stage J timing definitions","Do not mix backend/pre-sink/wall FPS",,Primary Stage J performance authority
