stage,experiment_id,contribution_grade,evidence_status,thesis_use,engineering_paper_use,paper_section_role,primary_metrics,timing_boundary,allowed_claim,mandatory_limitation,excluded_claim,authority_path,machine_result_path,figure_or_table_candidate,rerun_required,notes
"Training","formal_training_9_runs","C","CANONICAL","BACKGROUND","EXCLUDED","Frozen model selection background","validation P/R/mAP50/mAP50-95; observed seed variation","Validation evaluation on the recorded split","Recorded nine-run comparison and observed three-seed variation","Three seeds do not establish statistical significance or a general seed bound","Detection-algorithm innovation; statistically significant seed-7 superiority","docs/TRAINING_FINAL_REPORT.md","results/training/evidence/validation_metrics_by_experiment.json","THESIS_TABLE","NO","Training is an engineering asset rather than a core contribution"
"Training","frozen_seed7_model","C","CANONICAL","SUPPORTING","SUPPORTING","Frozen research object and task-accuracy anchor","model SHA-256; held-out test P/R/mAP50/mAP50-95","Held-out test evaluation over 180 images","Frozen seed-7 identity and recorded validation/test metrics","Binary is EXTERNAL_LOCAL_ONLY; the test set was used only after model selection","New model contribution; cross-platform bitwise training reproducibility","docs/MODEL_FREEZE_RECORD.md","results/training/evidence/frozen_test_metrics.json","IDENTITY_TABLE","NO","Frozen PT retention and hash were verified"
"Training","frozen_test_visual_and_prediction_outputs","C","CANONICAL","SUPPORTING","EXCLUDED","Frozen-test qualitative and diagnostic support","confusion matrices; PR/F1/P/R curves; prediction previews; predictions.json","Frozen held-out test outputs","Verified frozen-test visuals and predictions may support paper presentation","External-only assets; original directory name was not retained verbatim","Unverified qualitative generalization","docs/TRAINING_FINAL_REPORT.md","results/training/evidence/frozen_test_metrics.json","OPTIONAL_FIGURE","OPTIONAL_PRESENTATION_ONLY","Presentation may use retained assets without rerunning inference"
"ONNX","frozen_onnx_contract","C","CANONICAL","SUPPORTING","BACKGROUND","Frozen cross-backend model contract","SHA-256; fixed input/output contract; ten-image consistency","Ten-image PT/ONNX comparison under recorded tolerances","Fixed ONNX identity and measured PT/ONNX consistency PASS","Ten images do not establish universal equivalence; binary is local-only","Bitwise identity; dynamic-shape support; portable Git binary availability","results/onnx_export/export_metadata.json","results/onnx_export/pt_onnx_compare.json","CONTRACT_TABLE","NO","Static FP32 NCHW input and BCN output contract"
"J","j5_6_tuned_k5_v3","B","CANONICAL","SUPPORTING","BACKGROUND","ORT CPU deployment baseline","mean inference; pre-sink total; pre-sink FPS; wall FPS","Backend host call and pre-sink boundaries defined by Stage J","Formal Jetson ORT CPU k5 performance under its frozen contract","Do not rank directly against K/P/Q/R metrics with different boundaries","GPU-kernel timing; cross-stage universal speedup","docs/personal/STAGE_J_FINAL_REPORT.md","results/benchmark/jetson_ort_cpu/tuned/j5_6_tuned_formal_baseline_v3/aggregate.json","THESIS_TABLE","NO","Stage J is supporting chain evidence"
"J","j6_tuned_stability_v1","B","CANONICAL","SUPPORTING","EXCLUDED","ORT bounded stability support","duration; frames; cycles; failures; correctness","Continuous campaign elapsed wall duration","Recorded 30-minute k5 ORT stability under the frozen workload","Unavailable telemetry including VDD_IN; not industrial-duration evidence","Power result; industrial lifetime or reliability certification","docs/personal/STAGE_J_FINAL_REPORT.md","results/benchmark/jetson_ort_cpu/stability/j6_tuned_stability_v1/stability_report.json","THESIS_TABLE","NO","Research-grade bounded stability only"
"K","k5_raw_level_b_fp16","B","CANONICAL","SUPPORTING","BACKGROUND","Layered correctness negative evidence","raw Level B pass count 1/16","Raw tensor comparison under the frozen comparator contract","FP16 raw Level B remains FAIL and must qualify task-level acceptance","Raw numerical deviation is current canonical negative evidence","Raw tensor equality; bitwise equivalence","results/validation/stage_k8/final_summary_v1/README.txt","results/validation/jetson_tensorrt_fp16/k5_correctness_v3/tensorrt_level_b_report.json","LIMITATION_TABLE","NO","Negative correctness evidence is retained"
"K","k5_task_eval_v2","B","CANONICAL","SUPPORTING","BACKGROUND","FP16 task-level correctness support","P/R/mAP50/mAP50-95 for strict FP32 and FP16","Frozen 180-image task evaluation","FP16 met accepted task-level criteria under D066","Task-level acceptance does not overturn raw Level B FAIL","Raw equivalence; universal task equivalence","results/validation/stage_k8/final_summary_v1/README.txt","results/validation/stage_k_task_eval_v2/metrics/backend_metrics.json","THESIS_TABLE","NO","Layered correctness is B-grade support"
"K","k7_performance_v1","B","CANONICAL","SUPPORTING","BACKGROUND","FP16 descriptive performance support","inference mean/FPS; end-to-end mean/FPS; speedup","Inference is enqueueV3 through D2H synchronization; K7 end-to-end excludes sink","Formal FP32-versus-FP16 descriptive performance under the Stage K serial protocol","Host roundtrip is not GPU-kernel-only; K7 end-to-end differs from P/Q","Universal TensorRT speedup; use of invalidated allocation results","results/validation/stage_k8/final_summary_v1/README.txt","results/validation/stage_k7/performance_v1/comparison_report.json","THESIS_TABLE","NO","Repository performance_v1 is canonical"
"K","k6_fp16_stability_v1","B","CANONICAL","SUPPORTING","EXCLUDED","FP16 bounded stability support","duration; successful frames; failures","Continuous campaign elapsed wall duration","Recorded 30-minute FP16 stability under the frozen workload","Bounded campaign does not establish industrial lifetime","Industrial stability or certification","results/validation/stage_k8/final_summary_v1/README.txt","results/validation/stage_k6/stability_v1/stability_report.json","THESIS_TABLE","NO","FP16 Engine retention and hash are verified separately"
"P","p4_attempt_009","B","CANONICAL","SUPPORTING","BACKGROUND","Bounded Pipeline correctness support","exact detection identity; zero drops","Functional Serial/Pipeline correctness protocol","Accepted attempt 009 supports exact detection identity for the frozen path","Raw evidence is LOCAL_ONLY; Stage K raw Level B limitation is inherited","Broad Pipeline correctness or raw tensor equivalence","docs/personal/STAGE_P_EVIDENCE_INDEX.md","/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p4_correctness_v1/attempt_009/runs/serial.json","THESIS_TABLE","NO","Stage P is not an engineering-paper core result"
"P","p5_attempt_001_reclassified","B","CANONICAL","SUPPORTING","EXCLUDED","Serial-versus-Pipeline execution-form background","paired wall-throughput ratio 4.165718; sample SD 0.007915","Corrected frozen offline replay measured wall window","A formal descriptive 4.165718x throughput observation under the corrected frozen protocol","No rerun occurred; offline replay and wall throughput do not establish single-frame latency or real-camera gain","Statistical significance; universal speedup; lower single-frame latency","results/benchmark/stage_p/p5_serial_vs_pipeline_v1/P5_FINAL_RECLASSIFICATION_REPORT.md","/home/orin/edge-ai-local-evidence/stage_p/benchmark/stage_p/p5_serial_vs_pipeline_v1/formal_statistics.json","THESIS_TABLE","NO","Explicitly excluded from engineering-paper core results"
"P","p6_video_v1","B","CANONICAL","SUPPORTING","EXCLUDED","Video-path functional support","frames; drops; matching run SHA","Short frozen MJPG functional validation","Frozen short MJPG passed Serial and Pipeline validation","Local-only video/raw results do not establish broad codec or camera support","General video or industrial-camera compatibility","docs/personal/STAGE_P_FINAL_REPORT.md","/home/orin/edge-ai-local-evidence/stage_p/validation/stage_p/p6_video_v1/attempt_002/validation/gate_checks.json","THESIS_TABLE","NO","Necessary deployment support only"
