work,citation_key,attribute,classification,source_file,page_or_section,supporting_paraphrase,confidence
Kim et al. (2025),kim_et_al_2025_concurrent_edge_detection,Edge deployment,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Improving_Performance_of_Real-Time_Object_Detection_in_Edge_Device_Through_Concurrent_Multi-Frame_Processing.pdf,p.1,"The study targets real-time object detection on resource-constrained edge devices.",HIGH
Kim et al. (2025),kim_et_al_2025_concurrent_edge_detection,Detector/model fixed within comparison,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Improving_Performance_of_Real-Time_Object_Detection_in_Edge_Device_Through_Concurrent_Multi-Frame_Processing.pdf,pp.9-10,"Baseline and concurrent multi-frame processing are compared without changing the selected detector model.",HIGH
Kim et al. (2025),kim_et_al_2025_concurrent_edge_detection,GPU preprocessing,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Improving_Performance_of_Real-Time_Object_Detection_in_Edge_Device_Through_Concurrent_Multi-Frame_Processing.pdf,full text,"The audited implementation and evaluation sections do not identify GPU-resident preprocessing.",MEDIUM
Kim et al. (2025),kim_et_al_2025_concurrent_edge_detection,Explicit host-memory strategy,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Improving_Performance_of_Real-Time_Object_Detection_in_Edge_Device_Through_Concurrent_Multi-Frame_Processing.pdf,full text,"No explicit pageable, pinned, or unified host-memory comparison was found.",HIGH
Kim et al. (2025),kim_et_al_2025_concurrent_edge_detection,Complete E2E evaluation,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Improving_Performance_of_Real-Time_Object_Detection_in_Edge_Device_Through_Concurrent_Multi-Frame_Processing.pdf,pp.4 and 9-10,"The runtime analysis includes frame reading, preprocessing, inference, and postprocessing in the compared execution path.",HIGH
Kim et al. (2025),kim_et_al_2025_concurrent_edge_detection,Task correctness,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Improving_Performance_of_Real-Time_Object_Detection_in_Edge_Device_Through_Concurrent_Multi-Frame_Processing.pdf,pp.9-10,"Accuracy values concern detector choices; no task-correctness equivalence result for baseline versus the concurrent path was found.",MEDIUM
Kim et al. (2025),kim_et_al_2025_concurrent_edge_detection,Tail latency,NOT_REPORTED,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Improving_Performance_of_Real-Time_Object_Detection_in_Edge_Device_Through_Concurrent_Multi-Frame_Processing.pdf,full text,"No percentile or tail-latency evaluation was found.",HIGH
PRESTO (2025),lee_han_kim_2025_presto,Edge deployment,NO_IF_EXPLICIT,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Hybrid CPU-GPU Preprocessing Framework for Video-based AI Inference System.pdf,pp.1 and 5-6,"The reported evaluation uses an RTX 4090/server or cloud environment; edge-device deployment is stated as future work.",HIGH
PRESTO (2025),lee_han_kim_2025_presto,Detector/model fixed within comparison,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Hybrid CPU-GPU Preprocessing Framework for Video-based AI Inference System.pdf,pp.2 and 5,"The same HD-VILA workload is used across preprocessing baselines in the reported comparison.",HIGH
PRESTO (2025),lee_han_kim_2025_presto,GPU preprocessing,YES,/home/orin/paper-external-inputs/hfut-journal/phase3_literature_v1/Hybrid CPU-GPU Preprocessing Framework for Video-based AI Inference System.pdf,pp.1 and 4-5,"The framework explicitly moves and schedules preprocessing on the GPU in a hybrid CPU-GPU design.",HIGH
