source_id,paragraph_index,normalized_paragraph_locator,text_excerpt,paragraph_style_id,direct_alignment,direct_indent,direct_spacing,direct_keep_next,run_count,distinct_fonts,distinct_sizes,bold_or_italic_runs,embedded_object_count,drawing_count,omml_count,table_context,formatting_mechanism,notes
HFUT_FMT_DOC,1,EMPTY_PARAGRAPH_001,,Normal,center,,,,1,黑体;SimHei,22,r1:b=TRUE;i=inherit,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,2,P001,排版格式及相关要求（标题不超过20字）,Normal,center,,,,6,宋体;SimSun;黑体;SimHei,14;22,r1:b=TRUE;i=inherit;r2:b=TRUE;i=inherit;r3:b=TRUE;i=inherit;r4:b=TRUE;i=inherit;r5:b=TRUE;i=inherit;r6:b=TRUE;i=inherit,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,3,EMPTY_PARAGRAPH_003,,Normal,center,,line_spacing=240 twips;12.000 pt;rule=exact,,1,楷体_GB2312;楷体,14,r1:b=TRUE;i=inherit,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,4,P002,张光明1，李 四2,Normal,center,,,,7,Times New Roman;楷体_GB2312;楷体,14,,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,5,P003,(1.合肥工业大学 土木与水利工程学院，安徽 合肥 230009；2.合肥工业大学 资源与环境工程学院，安徽 合肥 230009)（给出二级单位，省、市、邮编）,Normal,,,,,18,Times New Roman;黑体;SimHei,7.5;9,,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,6,EMPTY_PARAGRAPH_006,,Normal,center,,line_spacing=240 twips;12.000 pt;rule=exact,,1,楷体_GB2312;楷体;黑体;SimHei,14,,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,7,P004,"摘 要（小5黑体）：采用第三人称写法，阐明研究的目的、方法、结果、结论，以300字左右为宜；第一次出现缩略语需要提供中英文全称，如支持向量机（support vector machine，SVM）；避免出现图、表以及参考文献的序号。（小5宋,行距14磅）",Normal,,hanging_indent=0 twips;0.000 pt;left_indent=420 twips;21.000 pt;right_indent=295 twips;14.750 pt,line_spacing=280 twips;14.000 pt;rule=exact,,32,黑体;SimHei,9,r2:b=TRUE;i=inherit;r6:b=TRUE;i=inherit,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,8,P005,关键词（小5黑体）：缩略语；支持向量机（SVM）（小5宋，选词要规范，避免泛词，如“评价”）,Normal,,hanging_indent=0 twips;0.000 pt;left_indent=420 twips;21.000 pt;right_indent=293 twips;14.650 pt,,,16,黑体;SimHei,9,r2:b=TRUE;i=inherit;r6:b=TRUE;i=inherit,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,9,P006,中图分类号：TU 411.01(必填，可http://www.ztflh.com查询) 文献标识码：A,Normal,,hanging_indent=0 twips;0.000 pt;left_indent=420 twips;21.000 pt;right_indent=293 twips;14.650 pt,,,10,方正书宋简体;宋体;黑体;SimHei,9,r4:b=TRUE;i=inherit;r5:b=TRUE;i=inherit;r6:b=TRUE;i=inherit;r8:b=TRUE;i=inherit;r9:b=TRUE;i=inherit,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
HFUT_FMT_DOC,10,EMPTY_PARAGRAPH_010,,Normal,center,,line_spacing=240 twips;12.000 pt;rule=exact,,1,楷体_GB2312;楷体,14,,0,0,0,,MIXED_FORMATTING,formatting_mechanism=MIXED_FORMATTING
